,EPIC ID,Teff,logg,Flare #,Observation time,Average flare duration,Longest flare duration,Shortest flare duration,Average percentage increase,Highest percentage increase,Lowest percentage increase
38,206023179,4045.349,4.6743,0.0,69.14117439951951,0.0,0.0,0.0,0.0,0.0,0.0
39,202724532,3749.2021,4.0155,1.0,59.84477428741229,0.16345294423081214,0.16345294423081214,0.16345294423081214,5.47332763671875,5.47332763671875,5.47332763671875
40,238018865,3637.3257,4.3124,10.0,70.91860128520057,0.1838852488734119,0.34733924004103756,0.12258972281415481,10.357435941696167,54.68012094497681,1.7913341522216797
41,249144433,4019.4885,4.3424,0.0,87.97962247043324,0.0,0.0,0.0,0.0,0.0,0.0
42,202068373,3800.8186,4.5682,4.0,36.266188022076676,0.20942433516029269,0.42906469724402996,0.10215820294979494,1.6181468963623047,1.7870783805847168,1.3703465461730957
43,220177729,4223.415,4.3022,3.0,78.68256562750321,0.16345275370258605,0.22474741601763526,0.08172680343704997,0.3878672917683919,0.4422307014465332,0.3360629081726074
44,245928811,4137.403,4.651,6.0,86.10044566313445,0.20091562047309708,0.5720827630066196,0.0817410471936455,0.8273621400197347,2.666342258453369,0.2410888671875
45,251365170,3705.8652,4.3812,3.0,79.53488534034841,0.1362365366682449,0.14304966396593954,0.12261064442282077,14.873449007670084,32.34736919403076,6.027030944824219
46,212312325,3807.4639,4.6746,4.0,78.88735638170328,0.3984181645173521,1.0624473530842806,0.10215828572108876,0.6980597972869873,2.099180221557617,0.12739896774291992
47,212378715,4183.6016,4.4741,6.0,78.88724718750746,0.34393970747623825,1.328095539487549,0.08172696141264169,0.9215275446573893,1.542806625366211,0.35337209701538086
48,211326687,3645.502,4.6288,24.0,125.61475335196155,0.21708818755845036,0.6946761570652598,0.10215825370687526,0.45350492000579834,1.0360479354858398,0.16913414001464844
49,211350170,4098.8687,4.6901,4.0,74.80072896538331,0.9602964524237905,3.146502788149519,0.16345456310227746,0.21388530731201172,0.36017894744873047,0.1263260841369629
50,213352249,3926.6875,4.7423,4.0,81.33885082569759,0.1021593751374894,0.12258952679985669,0.0817274978471687,1.2553393840789795,3.0387163162231445,0.35189390182495117
51,210387006,3946.9229,4.6884,4.0,70.85742649176245,0.1328055453232082,0.20431575123075163,0.0817264415381942,0.6204962730407715,1.0393619537353516,0.3745079040527344
52,220158092,3813.415,4.6582,2.0,78.6826106038643,0.09194207921245834,0.10215800999867497,0.08172614842624171,0.5919337272644043,0.6789445877075195,0.5049228668212891
53,246802443,3599.038,4.1826,0.0,80.5419515666581,0.0,0.0,0.0,0.0,0.0,0.0
54,246083453,3987.8713,4.7375,20.0,78.86660154208948,0.25744095228728836,0.7355518901313189,0.08172601215483155,0.6570476293563843,1.028752326965332,0.48041343688964844
55,246825172,3674.3904,4.0308,3.0,80.54206672644068,0.2792327189284454,0.44949818304303335,0.10215778979181778,5.157879988352458,10.349559783935547,2.3550033569335938
56,211442324,4133.6206,4.4663,1.0,74.80070172443084,0.12259066860133316,0.12259066860133316,0.12259066860133316,1.5746355056762695,1.5746355056762695,1.5746355056762695
57,212195645,3846.5264,4.6585,1.0,79.53473215862323,0.16348495693091536,0.16348495693091536,0.16348495693091536,0.13103485107421875,0.13103485107421875,0.13103485107421875
58,201134718,4089.2668,4.4811,5.0,79.9703049925156,0.08990036390750902,0.12259442345384741,0.0817267663005623,7.074453830718994,22.86217212677002,1.3592958450317383
59,205952809,3816.8018,4.3351,0.0,69.14100514997699,0.0,0.0,0.0,0.0,0.0,0.0
60,210432197,4001.8787,4.6702,2.0,70.83702986212302,0.10215965994575527,0.12258967429806944,0.08172964559344109,0.3984510898590088,0.43332576751708984,0.36357641220092773
61,220182529,4106.7563,4.6312,18.0,78.6825164713664,0.32236716974148294,1.5528155926585896,0.0817263720309711,0.5441738499535455,0.8432507514953613,0.21643638610839844
62,251365173,3538.4094,4.6147,9.0,79.53488535082579,0.1725672639295226,0.3474060637090588,0.08174245640839217,9.250330924987793,21.972954273223877,3.938472270965576
63,211404177,4175.571,4.6637,24.0,125.61467255786556,0.17537335518773034,0.5107980506727472,0.08172709050995763,0.798503557840983,2.245962619781494,0.16667842864990234
64,251580674,4123.922,4.6555,2.0,67.04867919485696,0.1123947902378859,0.14304967298085103,0.08173990749492077,0.8571863174438477,0.9193062782287598,0.7950663566589355
65,210411019,3906.7915,4.7567,3.0,70.85746267294599,0.11577939956381063,0.16345311012264574,0.08172636698873248,0.6982644399007162,1.2473464012145996,0.39283037185668945
66,210482162,4080.3396,4.6935,1.0,70.85747007591272,0.08172709365317132,0.08172709365317132,0.08172709365317132,0.3605842590332031,0.3605842590332031,0.3605842590332031
67,202067513,3537.7395,4.4131,4.0,36.26618391692318,0.12259000205449411,0.16345316984370584,0.08172643020952819,0.5444616079330444,0.9690999984741211,0.37686824798583984
68,203013984,3430.6116,4.2483,4.0,59.844627882237546,0.1685626988128206,0.22474856502958573,0.10215954603336286,4.510515928268433,6.703066825866699,3.5202980041503906
69,201132518,4217.2427,4.465,2.0,79.97028953407425,0.14302395535924006,0.1838895612527267,0.10215834946575342,0.9190022945404053,1.4780759811401367,0.35992860794067383
70,251586749,4009.734,4.1121,2.0,67.04867011347233,0.13282750414509792,0.1430445854057325,0.12261042288446333,3.1502604484558105,4.86297607421875,1.437544822692871
71,202065332,3533.9756,4.5783,2.0,36.266175933043996,0.1634531479612633,0.18388492140365997,0.14302137451886665,1.0731637477874756,1.2607812881469727,0.8855462074279785
72,202947027,3742.422,4.6944,8.0,59.844695531297475,0.20431788296718878,0.5107913542233291,0.12259106301644351,0.7383778691291809,3.90089750289917,0.14520883560180664
73,246000563,3663.912,4.4494,5.0,78.86651307319698,0.11441731267987051,0.14302152807067614,0.08172667444887338,0.4016566276550293,0.6954669952392578,0.11230707168579102
74,212207670,3902.0073,4.72,14.0,79.53470424269472,0.14888563689809026,0.44957312342739897,0.08174048433284042,1.0650532586233956,2.654087543487549,0.29903650283813477
75,210406965,4032.0195,4.675,4.0,70.85726795155642,0.16345573664148105,0.32691609133325983,0.08172650371852797,0.5213230848312378,0.9784817695617676,0.15201568603515625
76,205916737,4139.53,4.6687,21.0,69.14100622577098,0.1838861492856051,0.5720846941039781,0.08172606687730877,1.312853041149321,4.117298126220703,0.33751726150512695
77,205916793,4241.413,4.6592,4.0,69.14100620400131,0.2247470316142426,0.5516515472481842,0.08172644638398197,1.0459750890731812,1.3211607933044434,0.887453556060791
78,203017692,3599.4944,4.2704,2.0,59.84465310355881,0.15324010055337567,0.22475370733445743,0.0817264937722939,26.259827613830566,51.83509588241577,0.6845593452453613
79,212880847,3750.8901,4.5688,3.0,67.04869423053606,0.17710320309803743,0.3065228639388806,0.08174240954394918,0.6634990374247233,1.2955069541931152,0.3407001495361328
80,201254485,4001.8633,4.7004,3.0,79.97014274576213,0.1838887007907033,0.3064831379087991,0.10215954324667109,0.3514289855957031,0.6150603294372559,0.2150416374206543
81,251604820,3609.2576,4.0458,0.0,67.04858650078677,0.0,0.0,0.0,0.0,0.0,0.0
82,202853972,3418.675,4.2068,3.0,59.84466089151101,0.1906952793894258,0.3269061328828684,0.10215811773377936,1.1783123016357422,1.3807296752929688,0.8068203926086426
83,246016996,4216.766,4.4813,10.0,78.86656371444406,0.12259030897184857,0.2043172948542633,0.08172639938129578,4.996145963668823,12.569499015808105,0.2216815948486328
84,205935619,3703.4287,4.7602,9.0,69.14100548711576,0.1407519703376844,0.28604646815074375,0.08172608667518944,0.54803556866116,0.8590340614318848,0.45043230056762695
85,248438786,4064.0469,4.6921,7.0,79.66382866573986,0.1488606792315425,0.18388738626526901,0.08172930846194504,1.0659115655081612,1.80586576461792,0.21753311157226562
86,203371909,3483.4827,4.4873,1.0,87.97968068461341,0.08172651181666879,0.08172651181666879,0.08172651181666879,30.961477756500244,30.961477756500244,30.961477756500244
87,201206565,4073.907,4.6718,1.0,79.97015852725599,0.32690696297504473,0.32690696297504473,0.32690696297504473,0.6622076034545898,0.6622076034545898,0.6622076034545898
88,248468121,3821.7856,4.6947,11.0,79.66378371685278,0.22103447525693232,0.8785620013441076,0.08172677095717518,1.0368260470303623,1.771247386932373,0.4424095153808594
89,211304781,4222.8633,4.6593,7.0,125.61503746134258,0.12843000559535409,0.20432382063154364,0.08172671204374637,0.35297700337001253,0.5430102348327637,0.21545886993408203
90,248433966,4126.909,4.64,3.0,79.6638968642801,0.14983634408660387,0.22475642970675835,0.08172959170042304,1.6155401865641277,4.083895683288574,0.2959012985229492
91,228744112,3588.8062,4.5328,14.0,69.12068256924977,0.16199507243904268,0.326912170239666,0.08172758062573848,1.741248369216919,7.062506675720215,0.3413677215576172
92,202710503,3529.865,4.3519,16.0,59.84464551630663,0.7240553130186527,2.06362923157576,0.08172690017090645,6.447644531726837,35.74026823043823,0.6485581398010254
93,212298565,4066.705,4.6657,5.0,78.88739728958171,0.18388834445067914,0.36778255431272555,0.10216041821695399,0.660097599029541,1.184093952178955,0.18770694732666016
94,203013195,3468.899,4.4013,3.0,59.8446277701878,0.19069545025073845,0.30647456124279415,0.12259010421985295,1.464378833770752,2.533268928527832,0.8482813835144043
95,210357660,4189.3633,4.5088,2.0,70.85721177673986,0.12258980456317659,0.14302139616484055,0.10215821296151262,0.23450255393981934,0.2673149108886719,0.2016901969909668
96,246851148,4209.841,4.6715,2.0,80.54197664950334,0.10215876519214362,0.12259110539162066,0.08172642499266658,0.5285322666168213,0.558316707611084,0.4987478256225586
97,211319386,3945.2397,4.2838,12.0,125.6147370401377,0.2792345599743082,1.0828776724956697,0.08172689772618469,1.0810295740763347,1.573026180267334,0.5603313446044922
98,248482146,3819.2102,4.7013,20.0,79.66381108621135,0.24824921705658198,2.043238602564088,0.0817294885564479,1.3175427913665771,4.646897315979004,0.2916574478149414
99,251587076,4201.5107,4.5029,2.0,67.04859791670606,0.08174048060391215,0.08174122577474918,0.08173973543307511,0.33243298530578613,0.4909634590148926,0.1739025115966797
100,211358714,3700.496,4.3273,0.0,74.8008318315915,0.0,0.0,0.0,0.0,0.0,0.0
101,203336842,3421.544,4.392,7.0,59.844570453686174,0.12258995073248766,0.2043162699919776,0.08172665807069279,3.944849967956543,10.061085224151611,0.9724020957946777
102,220195228,3991.5862,4.279,12.0,78.68259930948261,0.2094250070507163,0.5516567712111282,0.08172687736077933,0.4308621088663737,1.3963103294372559,0.1778125762939453
103,248436349,4029.8223,4.6794,9.0,79.66399406152777,0.21794369693493032,0.9807616744656116,0.08172673740045866,0.41367742750379777,0.8591771125793457,0.2055525779724121
104,246035494,3648.2988,4.3102,2.0,78.86658864140918,0.10215845073980745,0.10215846686332952,0.10215843461628538,1.0267078876495361,1.4046192169189453,0.648796558380127
105,202790830,3486.6853,4.1822,5.0,59.84472925873706,0.16754242029419403,0.20432184238597983,0.12258995381125715,13.299357891082764,51.20276212692261,0.4632234573364258
106,210372124,3830.774,4.5724,10.0,70.85721875397576,0.1368918901309371,0.24517933998140506,0.08172632322384743,0.2523326873779297,0.31058788299560547,0.2142786979675293
107,211319981,3771.377,4.5323,1.0,74.80074515060551,0.12259121808165219,0.12259121808165219,0.12259121808165219,0.7748723030090332,0.7748723030090332,0.7748723030090332
108,251631282,4209.471,4.3212,6.0,67.0280891551738,0.17370318677421892,0.1839211155383964,0.14304941945738392,2.313093344370524,6.030786037445068,1.3651013374328613
109,211348741,4159.873,4.3926,7.0,74.80076010764606,0.1255088648498973,0.16345312188059324,0.08172660084528616,0.3432222775050572,0.49271583557128906,0.15872716903686523
110,202555014,3805.978,4.6037,6.0,59.844737301929854,0.10215952265207306,0.12259331448876765,0.08172683393786428,1.9929627577463787,3.4980058670043945,0.778663158416748
111,201079388,3648.6233,4.0345,1.0,69.12066289133509,0.5720879617656465,0.5720879617656465,0.5720879617656465,0.49240589141845703,0.49240589141845703,0.49240589141845703
112,220143498,4197.089,4.6407,30.0,78.68257393187378,0.15187591059778546,0.4903630025801249,0.0817262864948134,0.5231459935506185,4.208934307098389,0.1385807991027832
113,202819083,3701.2905,4.5679,2.0,59.84474478624179,0.19410283770412207,0.2656157135788817,0.12258996182936244,3.7324607372283936,6.97329044342041,0.49163103103637695
114,246782039,4199.956,4.6659,7.0,80.5217208040558,0.1138359621971696,0.14302674487407785,0.08172952650784282,3.007406847817557,17.474961280822754,0.2737879753112793
115,246068774,3762.8628,4.7123,2.0,78.86659927257278,0.11237497035472188,0.12259156127402093,0.10215837943542283,1.257842779159546,1.5997529029846191,0.9159326553344727
116,203001378,3524.5808,4.5206,5.0,59.84468808135716,0.14710987657890656,0.2656142068153713,0.08172766456118552,5.498743057250977,15.811467170715332,2.002549171447754
117,249331590,3473.6726,4.2811,1.0,87.97942235016671,0.10216031647723867,0.10216031647723867,0.10216031647723867,9.419405460357666,9.419405460357666,9.419405460357666
118,201185146,3548.934,4.6507,2.0,79.97020191163756,0.10215924958174583,0.12259192076453473,0.08172657839895692,0.8237719535827637,1.2178778648376465,0.42966604232788086
119,245979230,4171.117,4.6415,0.0,78.86648502991011,0.0,0.0,0.0,0.0,0.0,0.0
120,220211740,3724.474,4.5587,1.0,78.68269091262482,0.0817283933138242,0.0817283933138242,0.0817283933138242,0.9624123573303223,0.9624123573303223,0.9624123573303223
121,248418109,3904.6453,4.7296,0.0,79.66399137792177,0.0,0.0,0.0,0.0,0.0,0.0
