EPICID Teff logg
202135196.000000 3745.953600 4.635500
245919081.000000 3941.072500 4.334500
248891384.000000 4056.040800 4.671900
211440537.000000 3545.000700 4.853300
212276434.000000 3985.330600 4.395500
246740198.000000 3860.280800 4.733900
251581781.000000 3777.900100 4.666100
246016761.000000 4042.911400 4.666700
202709862.000000 3317.774400 4.481000
249253386.000000 4218.924000 4.416500
205910644.000000 3426.265600 4.806100
220197687.000000 3529.576400 4.711900
249279716.000000 4166.263000 4.695400
251357497.000000 3995.539000 4.671500
251607159.000000 4249.015000 4.653800
203009876.000000 3326.548600 4.688300
213635054.000000 3989.292500 4.434000
248437673.000000 3649.192100 4.483900
212878593.000000 3800.088400 4.707900
246764728.000000 3650.089800 4.204200
248549276.000000 3647.824200 4.227400
205969877.000000 3712.689000 4.734900
211403992.000000 4235.037600 4.523600
229158811.000000 3653.473900 4.733400
251384507.000000 4156.645000 4.663400
211336747.000000 3708.260500 4.747700
248430427.000000 3535.322300 4.757700
228766723.000000 4082.159000 4.540300
205975117.000000 3620.386500 4.740400
228754501.000000 3534.154000 4.785500
245998124.000000 3647.115200 4.777500
213488455.000000 3544.601800 4.362500
220182640.000000 3791.434300 4.703800
248453532.000000 4219.285000 4.643300
246809048.000000 4124.981400 4.691700
210456166.000000 3468.143000 4.583100
211414945.000000 4200.689500 4.686400
228745899.000000 3527.695300 4.629700
203254243.000000 3530.151900 4.569700
201278080.000000 3845.629000 4.626500
201494805.000000 3857.645500 4.317600
228725678.000000 4043.599400 4.710400
212207738.000000 4216.370000 4.592000
201270491.000000 4118.802000 4.670500
210485165.000000 4199.882300 4.683700
249273854.000000 4198.522500 4.646700
201170362.000000 3483.737000 4.870000
249103165.000000 4218.826700 4.477800
246745796.000000 4232.560000 4.202200
220146021.000000 3361.898700 4.834200
249159746.000000 4084.822300 4.673600
249175506.000000 3728.234000 4.280100
210478463.000000 3773.982400 4.676000
211336288.000000 4115.086000 4.682800
211399208.000000 4100.293000 4.640900
235859100.000000 3849.046400 4.639500
249165479.000000 3820.640400 4.689700
251406441.000000 3681.528000 4.804000
205949028.000000 3766.907500 4.637200
201193585.000000 3713.535000 4.782100
245941766.000000 3881.299000 4.276600
211377851.000000 3581.563200 4.728300
251626524.000000 3947.839600 4.588000
249232263.000000 3566.806000 4.852300
248435727.000000 3325.464000 4.416500
205917469.000000 3538.296900 4.784000
245914954.000000 4200.120000 4.396200
220154916.000000 4069.566000 4.655900
210349838.000000 3378.565200 4.667000
210322477.000000 3375.043000 4.411800
251403570.000000 3552.944000 4.652400
248468751.000000 3845.040000 4.718200
251582106.000000 3574.072000 4.100600
210416145.000000 3581.164000 4.745300
213640277.000000 3428.503000 4.645600
251594809.000000 3715.570000 4.495800
205915088.000000 3740.107400 4.670800
212200470.000000 3968.746000 4.695300
246591365.000000 4014.359400 4.676100
251589349.000000 3387.905800 4.087800
251583764.000000 4099.904000 4.689700
245946937.000000 4124.257000 4.665000
248476595.000000 4137.255400 4.646400
203004488.000000 3388.350000 4.639500
245998121.000000 3820.846000 4.706300
220275049.000000 4091.402300 4.671300
210429553.000000 3675.385000 4.622800
246052859.000000 3659.524000 4.668700
212179409.000000 4067.442000 4.680500
205952992.000000 3434.123800 4.789700
248434322.000000 4098.578000 4.643100
249199257.000000 4200.622600 4.648300
211359203.000000 3606.225300 4.820500
212866724.000000 4200.472700 4.617000
210482617.000000 3422.391000 4.806500
228728919.000000 3537.595700 4.659900
251392783.000000 4028.590000 4.484000
251384468.000000 3925.747600 4.664600
251380949.000000 3716.949200 4.713200
205991935.000000 4188.131000 4.619800
212295535.000000 3753.153800 4.348800
248457722.000000 3875.837400 4.686400
220299264.000000 4137.605000 4.667600
212226178.000000 4201.660600 4.403200
212219643.000000 4144.775400 4.668400
248426611.000000 4243.683600 4.614300
220196492.000000 4151.651000 4.651400
202067525.000000 3793.112300 4.734800
202084610.000000 4001.610800 4.710600
211537249.000000 4200.127000 4.662100
211406802.000000 3756.159200 4.337100
245933625.000000 3559.142300 4.749400
246752572.000000 3425.022500 4.433600
228764702.000000 3538.246300 4.645400
245990891.000000 4232.091000 4.545600
246766097.000000 4198.517600 4.675900
211375724.000000 4047.026100 4.638900
220244664.000000 4189.736000 4.458000
251394083.000000 4191.422400 4.678200
211403161.000000 3514.824700 4.193700
245934486.000000 3702.270000 4.853300
212318857.000000 3852.521700 4.777800
210439350.000000 3611.735000 4.514800
212875004.000000 3915.782000 4.501200
249179040.000000 4114.801300 4.659000
251594100.000000 3438.268300 4.864000
220200186.000000 4211.680700 4.563800
212361428.000000 4152.004000 4.649700
245972694.000000 3518.183800 4.786900
201189289.000000 3781.168200 4.610100
205929676.000000 4239.527300 4.501900
210365226.000000 3483.807600 4.414100
201283613.000000 3358.248300 4.477300
233396666.000000 3735.111000 4.399000
229151562.000000 3554.389600 4.772000
248444322.000000 4220.077600 4.420800
206004636.000000 3609.087200 4.382200
210401037.000000 3431.112500 4.913800
201183294.000000 4075.488500 4.659600
248444333.000000 3562.762700 4.466900
246050424.000000 4086.939700 4.131800
212170624.000000 3644.823500 4.209200
246848340.000000 3375.074500 4.401400
246805228.000000 3875.622600 4.569700
220243020.000000 3605.362300 4.233500
210408161.000000 3712.678700 4.707700
206007733.000000 4207.657000 4.377200
211314440.000000 3381.413300 4.700400
249105773.000000 4182.239700 4.658600
205986891.000000 4140.359000 4.656900
210410490.000000 3776.726600 4.719700
220156115.000000 3547.259000 4.449400
251573453.000000 3887.869400 4.697600
246717441.000000 3794.974400 4.676000
211474922.000000 4180.846700 4.466900
220167475.000000 4193.135000 4.668300
220196985.000000 4112.401000 4.627400
251390627.000000 4210.518000 4.546700
212197288.000000 3437.202000 4.361300
248441229.000000 3493.345200 4.414100
245999596.000000 3987.435800 4.493500
201164871.000000 3606.156000 4.748400
220243722.000000 4130.032000 4.644700
220251008.000000 4187.583500 4.600500
246816891.000000 4220.497000 4.622100
202084595.000000 3549.849900 4.552100
202135872.000000 3464.609100 4.760600
245934099.000000 3464.632000 4.774700
245938820.000000 3475.898700 4.410900
201235556.000000 4240.696000 4.551400
211382129.000000 4182.336400 4.645200
212212906.000000 3847.343500 4.536900
220196845.000000 3914.002400 4.666400
246730761.000000 3395.702000 4.402000
212879868.000000 4000.060000 4.533300
246914928.000000 3960.990700 4.644700
201145772.000000 4225.957000 4.722100
246040542.000000 3631.826700 4.647000
203072076.000000 3356.797600 4.770800
205978510.000000 4098.189000 4.416600
248443207.000000 4047.161600 4.755900
246040510.000000 3777.485400 4.777800
249148244.000000 3429.826200 4.408000
246068588.000000 4236.765600 4.668300
248428938.000000 3690.703100 4.749100
228737973.000000 3955.886200 4.589800
249165948.000000 4244.790500 4.479800
249232429.000000 3909.471200 4.679900
220197042.000000 3593.650100 4.738300
228716992.000000 3515.071800 4.545600
228712808.000000 3877.948700 4.638300
202654637.000000 3646.721000 4.523200
201183268.000000 3699.204300 4.711000
249116854.000000 4122.627000 4.659700
245925302.000000 3453.326000 4.651100
220208389.000000 4024.050000 4.680700
245933617.000000 3665.831500 4.338700
210447713.000000 3944.890900 4.676900
220145371.000000 4164.589400 4.662900
228713294.000000 3405.818800 4.718100
248457337.000000 4137.871000 4.583400
205961974.000000 3758.046400 4.720900
248443156.000000 3648.849600 4.738600
211411955.000000 3857.023000 4.631900
201182726.000000 3613.202600 4.611600
211374925.000000 4087.446800 4.665500
202773970.000000 3479.579800 4.204600
212284847.000000 4138.284000 4.351600
220173982.000000 4211.001000 4.545100
249235650.000000 3779.115700 4.614300
202687442.000000 3337.749300 4.581700
206017207.000000 3410.226800 4.424100
201154929.000000 3608.070800 4.633600
248418146.000000 4149.759300 4.679200
201340708.000000 4050.037800 4.652500
202755278.000000 3661.626000 4.724800
211304607.000000 3538.506600 4.752900
210351472.000000 3494.801000 4.798700
220250876.000000 3467.236800 4.591900
246768132.000000 3691.588600 4.084900
210331148.000000 3715.892300 4.719600
205911100.000000 4207.676000 4.634100
205898099.000000 4027.592800 4.697300
210441983.000000 3513.949000 4.773500
211405049.000000 3588.421900 4.766500
205938176.000000 4051.483200 4.655700
245969191.000000 4162.305700 4.190100
201372271.000000 3771.463900 4.593300
245964562.000000 4201.898000 4.668300
248438002.000000 4000.549800 4.590600
249116102.000000 4210.257000 4.410200
228756407.000000 4130.753400 4.446700
251378560.000000 3536.023000 4.672100
245932226.000000 3620.497600 4.242000
211501771.000000 4142.266600 4.523800
246042383.000000 3847.850600 4.643900
251612780.000000 4205.241700 4.647400
201248254.000000 3658.750500 4.397100
228716608.000000 4170.588000 4.526600
201229550.000000 4242.246600 4.473600
246801412.000000 3556.490000 4.669900
248463415.000000 3877.523000 4.625900
228743332.000000 3530.043500 4.736500
202068141.000000 3587.949200 4.752000
202084658.000000 3688.971200 4.708600
202084678.000000 3986.210200 4.678400
249101437.000000 4217.073700 4.539500
202638653.000000 3642.743200 4.707600
201203275.000000 4092.619900 4.636000
220286319.000000 3571.532000 4.688300
248476416.000000 3745.972000 4.723600
201149639.000000 4101.409700 4.538500
212170363.000000 3695.755600 4.476600
212314964.000000 3515.137500 4.430600
202592958.000000 3607.781700 4.682700
212293315.000000 3976.890000 4.602300
211382837.000000 4121.624500 4.625000
245946847.000000 4193.802200 4.558800
228743668.000000 3680.362000 4.850000
210489675.000000 4212.298300 4.331000
202641232.000000 3567.322800 4.637900
205908577.000000 4189.722000 4.652100
211309041.000000 3482.882000 4.838500
212208627.000000 3502.574200 4.131700
211324854.000000 4201.713400 4.525600
211376293.000000 3818.086400 4.487000
212361547.000000 4007.062500 4.687600
246626679.000000 3261.114000 4.455800
210420401.000000 3540.187500 4.766300
210447014.000000 3313.780500 4.452900
220203756.000000 3563.247800 4.647600
245939459.000000 4243.921400 4.469400
212298996.000000 3719.288300 4.491300
211509036.000000 3599.093300 4.215900
228733140.000000 4033.941400 4.389100
211354787.000000 3516.650600 4.264300
213037454.000000 3675.459700 4.710100
201185368.000000 3910.145300 4.600400
249181288.000000 3999.072000 4.692800
251615089.000000 3516.367000 4.566600
220303627.000000 3823.267300 4.619300
245916005.000000 3486.113000 4.765800
246922341.000000 3628.267600 4.769000
220165838.000000 3838.849600 4.648300
251614645.000000 3625.084000 4.160100
213747008.000000 3790.878700 4.705200
220152078.000000 4185.765600 4.633700
228744917.000000 4199.864000 4.586800
228772532.000000 3461.896000 4.407100
211519237.000000 3313.464000 4.927300
201193630.000000 4141.480000 4.676400
211307660.000000 4057.239000 4.673300
220232200.000000 3614.952600 4.613600
202872850.000000 3531.377000 4.894100
228738932.000000 3952.081000 4.628800
249101572.000000 3488.642000 4.855400
245943714.000000 3996.723600 4.654900
220289053.000000 3580.000500 4.795900
212191511.000000 4217.305000 4.639800
228725141.000000 3458.230000 4.854500
251404754.000000 3457.685300 4.571200
220218608.000000 3595.538600 4.528500
211325986.000000 3826.841300 4.731600
211493863.000000 4087.098900 4.394700
251359398.000000 4150.456500 4.677400
245942182.000000 3609.693400 4.745100
251405091.000000 3761.555400 4.314600
210373705.000000 3462.901600 4.834800
211438206.000000 3513.181200 4.638900
201168733.000000 4015.853800 4.698100
249134523.000000 4212.948000 4.633000
246641371.000000 3573.540300 4.598000
211426339.000000 4060.969200 4.698600
251396860.000000 4076.202100 4.628500
220199817.000000 3481.960700 4.762500
220241226.000000 3715.270000 4.660300
212292017.000000 3648.515100 4.554900
205912386.000000 3473.400000 4.922500
212300846.000000 3516.928700 4.505400
246020522.000000 3528.528300 4.709500
201161499.000000 4162.153000 4.667600
228718756.000000 3632.441000 4.138500
205918605.000000 4243.970000 4.656700
202084264.000000 3812.632300 4.460600
202085297.000000 4089.601300 4.623300
202135082.000000 3851.959200 4.752700
202135853.000000 3466.717300 4.002100
205899663.000000 3708.388700 4.558000
211357190.000000 3773.613500 4.627000
220173749.000000 3421.765600 4.892400
201401884.000000 3502.678000 4.732100
245970516.000000 3511.407200 4.737200
251402584.000000 4157.813500 4.654600
246708426.000000 4195.934600 4.529700
228759869.000000 3753.203400 4.784600
251384763.000000 3684.079600 4.685900
211408841.000000 3704.333500 4.683900
220227055.000000 4141.054700 4.318000
248442015.000000 3637.517300 4.504500
201188402.000000 3335.049600 4.735300
251402585.000000 4236.502400 4.595700
245969008.000000 3650.246000 4.230400
202518093.000000 3755.697300 4.801200
211333549.000000 3558.591300 4.407300
220298184.000000 4099.883300 4.674300
248403571.000000 3725.547600 4.618600
249184034.000000 3702.058600 4.507600
249167115.000000 3586.228000 4.802700
202800046.000000 3719.263700 4.622900
210343819.000000 3695.615700 4.698300
201161425.000000 4153.269000 4.587700
212215994.000000 3713.889600 4.074100
220179502.000000 3689.333700 4.829800
203247137.000000 3476.807100 4.798800
251386243.000000 3513.372000 4.531400
248429400.000000 4105.465000 4.638900
251557112.000000 3979.720500 4.608400
228750639.000000 3805.100600 4.616100
220202259.000000 3640.680000 4.454800
228767495.000000 3600.091300 4.736500
229156472.000000 4175.451700 4.662200
210382799.000000 3715.663800 4.633300
246054871.000000 3871.384500 4.389300
220218451.000000 3635.064000 4.578900
245982944.000000 4238.224000 4.338200
228758214.000000 3999.739500 4.725900
246915239.000000 3470.720000 4.858200
248428213.000000 3551.038800 4.662100
245947874.000000 4182.694300 4.630700
246770998.000000 3526.185000 4.890300
246820184.000000 3649.108000 4.663200
211313403.000000 3642.539000 4.129000
248458967.000000 3687.064000 4.680300
246012491.000000 4091.404500 4.662100
229156715.000000 3743.079600 4.769800
246058922.000000 4199.306000 4.572100
220203481.000000 3467.088400 4.730900
248465239.000000 3849.608400 4.589700
251620682.000000 3686.256300 4.627600
210366107.000000 3448.970200 4.663400
220232535.000000 3924.129400 4.582000
245918941.000000 3563.414000 4.717200
211396942.000000 4210.862300 4.666100
211307956.000000 3825.963100 4.471800
220229827.000000 3576.937700 4.755900
220221350.000000 4201.979000 4.690500
229155499.000000 3799.366700 4.636700
201283422.000000 3683.064500 4.814200
210509151.000000 3264.705600 4.766300
211306601.000000 3503.639600 4.588000
210384192.000000 4087.752000 4.497500
248424844.000000 3459.037000 4.852200
211402150.000000 3742.650100 4.636300
201366029.000000 4098.285600 4.666400
202548310.000000 4012.768600 4.435200
220153480.000000 3428.058600 4.874700
220176695.000000 3542.944300 4.765400
249180328.000000 4241.392000 4.666300
249234636.000000 4203.675000 4.422800
210395925.000000 3261.932400 4.848200
248431552.000000 3882.690700 4.660100
246003590.000000 3989.829000 4.662200
211316470.000000 3523.534200 4.526600
245992995.000000 4147.195000 4.680100
201185795.000000 3573.265600 4.748500
201234648.000000 3538.623300 4.725900
210329711.000000 3437.843500 4.970900
202587982.000000 3577.727300 4.258600
212221986.000000 3774.744900 4.473200
228738476.000000 4226.641000 4.335600
246699352.000000 3836.233200 4.196500
251402890.000000 4164.669000 4.659600
206002491.000000 4205.941400 4.526100
210389266.000000 3660.765600 4.720000
211411789.000000 3593.849400 4.714100
249339347.000000 3537.149200 4.749600
246076764.000000 4073.110800 4.694400
202592009.000000 3595.767600 4.451200
206022987.000000 4220.483000 4.660200
201156113.000000 3583.244600 4.889300
202068430.000000 3390.506800 4.874000
202081526.000000 3973.821500 4.725700
202085225.000000 4123.996600 4.652500
202915783.000000 3600.265100 4.576000
251397725.000000 3902.380100 4.326000
210376318.000000 3661.501200 4.354900
248441904.000000 3437.709700 4.913800
228710482.000000 4240.328000 4.555900
228754209.000000 3411.393300 4.724700
201196429.000000 4152.302700 4.656400
212315749.000000 3512.147700 4.481400
205980065.000000 4131.089000 4.693600
245986303.000000 4207.225600 4.663300
248425888.000000 3368.390400 4.880800
248464309.000000 4128.314000 4.375000
246827372.000000 4168.807000 4.601800
211379249.000000 3445.554400 4.851800
242213707.000000 4049.242000 4.673200
245958685.000000 4205.897500 4.675200
202873945.000000 3484.349000 4.298900
213766331.000000 3718.973900 4.300000
228735719.000000 3451.696000 4.802500
248444509.000000 4215.294000 4.638000
249138490.000000 4235.286600 4.644100
211374549.000000 3404.215000 4.869400
220208459.000000 4215.335400 4.580700
251556906.000000 3898.949700 4.397800
246066940.000000 4131.980500 4.291300
205945914.000000 3428.363500 4.622700
210366175.000000 3553.431600 4.608000
205944272.000000 3426.685000 4.437600
220254661.000000 3973.891400 4.678600
249149533.000000 3264.746800 4.598300
210372860.000000 3474.792200 4.829900
201176436.000000 4167.489300 4.385900
210361757.000000 3486.739000 4.815000
249107726.000000 3702.904300 4.203600
245953740.000000 4166.864700 4.377300
201155749.000000 4200.827600 4.280400
201131793.000000 3456.700200 4.405200
220254314.000000 3526.740700 4.737500
246619939.000000 3519.147700 4.800100
245941409.000000 3433.756300 4.584400
246721398.000000 3897.815400 4.277800
211330455.000000 4207.489000 4.655200
212171498.000000 4204.565400 4.652300
251376454.000000 4131.298000 4.687500
249213176.000000 3698.751500 4.546700
