,Unnamed: 0,EPIC ID,Teff,logg,Flare #,Observation time,Average flare duration,Longest flare duration,Shortest flare duration,Average percentage increase,Highest percentage increase,Lowest percentage increase,Flares per hour,Flares per day
0,0,248526013,4142.8374,4.6307,3.0,79.6636883483734,0.1634562616212254,0.1838894414540846,0.1430220256806933,0.1746932665506998,0.2347230911254882,0.1341462135314941,0.0015690963171748789,0.03765831161219709
1,1,213508874,4212.1597,4.4673,5.0,81.33883930500451,0.380033227786771,1.4915335262121516,0.1021579783264314,2.160906791687012,7.365715503692627,0.5785584449768066,0.002561302018979207,0.06147124845550097
2,2,220231988,4036.3206,4.6253,4.0,78.68261951394379,0.122591788369391,0.2247502043901477,0.0817278891263413,0.1205801963806152,0.1638531684875488,0.0843524932861328,0.0021182145141612975,0.05083714833987114
3,3,245921548,4233.243,4.5496,34.0,78.86645455063262,0.1778779013462446,0.490364417375531,0.0817263960925629,2.144078647389132,3.489387035369873,0.9714484214782716,0.017962854736384277,0.43110851367322267
4,4,246773415,4128.9326,4.3702,2.0,80.54210306664754,0.1328055509402474,0.1430212393388501,0.1225898625416448,7.15487003326416,10.039174556732178,4.270565509796143,0.001034655542386025,0.024831733017264598
5,5,206013238,3726.0876,4.5268,7.0,69.14118577655609,0.1692932690909531,0.2247551300388295,0.0817262061318615,0.4667997360229492,0.6239771842956543,0.1267552375793457,0.004218421529668978,0.10124211671205546
6,6,249112324,3905.1318,4.2821,2.0,87.9796018514171,0.1430227688797458,0.1634556784774758,0.1225898592820158,5.303436517715454,8.679592609405518,1.9272804260253904,0.0009471892527323488,0.022732542065576372
7,7,212311832,3797.936,4.4482,0.0,78.88735668508161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,8,246822724,3639.0854,4.0452,4.0,80.54215949303762,0.1328072670003166,0.183885939339234,0.08172834081779,7.216963171958923,16.386866569519043,2.505958080291748,0.002069309635049877,0.04966343124119705
9,9,205948478,3435.7173,4.099,5.0,69.14107999175758,0.2002292739940458,0.3881997711869189,0.1021580598753644,2.4942779541015625,2.9833078384399414,1.7513275146484375,0.003013162845564013,0.07231590829353632
10,10,246048450,4168.116,4.5585,2.0,78.86659980249533,0.1736693718812603,0.2043169901953661,0.1430217535671545,0.5512595176696777,0.7335424423217773,0.3689765930175781,0.0010566365678503192,0.025359277628407662
11,11,203092824,4168.917,4.2257,2.0,59.84463293122826,0.091942393915815,0.1021582899120403,0.0817264979195897,0.600212812423706,0.6007671356201172,0.5996584892272949,0.0013924946858492326,0.03341987246038158
12,12,202699293,4079.9028,4.2558,2.0,59.84466137987329,0.275827238416241,0.3677693887293571,0.1838850881031248,3.346371650695801,4.734623432159424,1.9581198692321775,0.0013924940238923243,0.033419856573415785
13,13,251608983,3871.563,4.5728,0.0,67.0485833919447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,14,212303782,3984.939,4.5314,5.0,78.88730693394609,0.155282961280318,0.2656198325857986,0.102158774898271,0.2341198921203613,0.5136370658874512,0.1112103462219238,0.002640898028218595,0.06338155267724628
15,15,202083781,3639.451,4.1187,11.0,36.26618884699565,0.1300196076825324,0.2451796381210442,0.0817266169324284,3.581094741821289,13.89240026473999,0.7368564605712891,0.012638034155367349,0.30331281972881635
16,16,210488561,4117.477,4.6635,5.0,70.85755807303212,0.1307639666163595,0.1838872371372417,0.1021579434382147,0.2515482902526855,0.4219174385070801,0.1564502716064453,0.0029401709429304128,0.0705641026303299
17,17,228750455,4140.375,4.5212,11.0,69.12068140300107,0.1430224093300322,0.2247490872177877,0.0817273030916112,0.2761212262240323,0.5327701568603516,0.1176595687866211,0.006630914568985044,0.15914194965564105
18,18,213417865,4243.3877,4.6801,8.0,81.33891176492762,0.1225902223077355,0.3269068232839345,0.0817265002842759,0.4350543022155761,0.8049368858337402,0.23881196975708,0.004098079579631931,0.09835390991116635
19,19,213710432,3167.598,4.032,7.0,81.33885237704817,0.1838860736409385,0.3473385918405256,0.0817265256118844,17.010244301387242,74.343740940094,3.688597679138184,0.0035858222502899227,0.08605973400695814
20,20,210408447,4137.2397,4.2291,2.0,70.85723163381772,0.1940998025274893,0.2860418602576828,0.1021577447972958,4.588651657104492,8.559238910675049,0.6180644035339355,0.00117607379531832,0.02822577108763968
21,21,212218456,4193.931,4.6634,3.0,79.53471421669383,0.1226137874327832,0.1430495663880719,0.0817424401830066,0.3751198450724284,0.4710555076599121,0.3176569938659668,0.0015716407763713735,0.03771937863291296
22,22,248427856,4246.175,4.6441,3.0,79.66390412219334,0.1430221072902592,0.2043172827980015,0.102158747773501,1.687459150950114,2.499425411224365,1.0381102561950684,0.0015690920671960465,0.037658209612705114
23,23,212286010,4115.38,4.5809,11.0,78.8873442007025,0.2173240611598223,0.5312404960204731,0.0817271186897414,0.3547961061651056,0.8153676986694336,0.1003742218017578,0.005809972917420788,0.1394393500180989
24,24,202068390,4126.379,4.6817,4.0,36.26618089885597,0.1225897643817006,0.1430214507636265,0.102158139416133,0.663033127784729,0.9516119956970216,0.4989862442016601,0.00459564979095784,0.11029559498298817
25,25,228723814,4244.1846,4.6585,2.0,69.12069946635165,0.1123760324735485,0.1430239676701603,0.0817280972769367,0.4745662212371826,0.5792737007141113,0.3698587417602539,0.0012056205156589955,0.028934892375815893
26,26,246899778,3950.4802,4.6915,2.0,80.54209030671336,0.1225917058982304,0.1225937843410065,0.1225896274554543,0.6535708904266357,0.787961483001709,0.5191802978515625,0.0010346557063020169,0.024831736951248403
