,EPIC ID,Teff,logg,Flare #,Observation time,Average flare duration,Longest flare duration,Shortest flare duration,Average percentage increase,Highest percentage increase,Lowest percentage increase,Flares per hour,Flares per day,RA,Dec
0,213439082,4103.376,4.6624,0.0,81.33890421527758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.55087445499,-29.42046855177
1,248442622,4173.1143,4.2693,12.0,79.66380258346908,0.1685618210425067,0.5312252961375634,0.0817267348975292,1.4461437861124675,2.9233932495117188,0.3738522529602051,0.0062763762685834,0.1506330304460021,155.81970881415,1.20554896513
2,249253853,3882.665,4.6602,4.0,87.97947175799345,0.1532383331596065,0.2247480047226417,0.1021581846725894,0.917014479637146,1.4908790588378906,0.3233909606933594,0.0018943813066429,0.0454651513594314,229.92948116284,-24.97258312459
3,220209793,4213.1885,4.6687,6.0,78.6826401570579,0.1464263852879715,0.2451798140245955,0.0817264924844494,0.7606625556945801,1.7312288284301758,0.2974748611450195,0.0031773209376423,0.0762557025034167,19.42866419803,0.35043661866
4,205924604,3656.4272,4.2284,19.0,69.14089136179973,0.1548500485598771,0.326905175425054,0.0817262304408359,1.2714486373098273,3.076004981994629,0.2600669860839844,0.0114500500510478,0.2748012012251476,334.01280516893,-17.25111352198
5,211314705,3607.449,4.7787,11.0,74.80076897127583,0.1281633527561842,0.2860436613045749,0.0817267966849613,1.0910001668063076,1.9565582275390625,0.666201114654541,0.0061273879886092,0.1470573117266227,129.12991937474,10.14721518308
6,201184549,3709.1501,4.7704,3.0,79.97018315747846,0.0953482253874729,0.1021592920151306,0.0817267448728671,0.354162851969401,0.4714846611022949,0.2825856208801269,0.0015630825773382,0.037513981856117,171.05682518123,-4.46853720575
7,205911796,4242.5005,4.6856,3.0,69.14103274890658,0.1430222213602974,0.1634551528695738,0.1225893095688661,1.0078827540079751,1.403510570526123,0.7458329200744629,0.001807898942643,0.0433895746234343,338.85395198036,-17.73306118651
8,211345931,4001.2856,4.7157,2.0,74.80076073768578,0.1328083542903186,0.1430242690694285,0.1225924395112088,1.1236011981964111,1.150071620941162,1.0971307754516602,0.0011140706660132,0.0267376959843186,129.38848875017,10.7393081675
9,251364386,4211.001,4.662,8.0,79.53489998004079,0.2324534037143166,0.9604632756090724,0.1021782586612971,0.5012452602386475,1.040041446685791,0.1721024513244629,0.0041910322816396,0.1005847747593521,139.9634643377,22.26007468911
10,249114983,4182.1113,4.3229,26.0,87.9795513467252,0.1854573916294052,0.4699277224135585,0.1021582985267741,0.8605205095731295,1.6203045845031738,0.5194664001464844,0.0123134673540666,0.2955232164976001,232.39904767645,-26.74279481666
11,201405299,4226.5693,4.2153,4.0,79.97007742023561,0.1123746614193805,0.122590943108662,0.1021582914327154,0.815930962562561,1.1028647422790527,0.603032112121582,0.002084112858749,0.0500187086099761,166.62262554271,-0.87840006216
12,201376427,4123.4873,4.6712,0.0,79.97008484660182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,166.70763790748,-1.31774996389
13,246923957,4227.9966,4.6517,7.0,80.5421728904621,0.1284281583357369,0.1634539760198095,0.0817273047214257,0.4221524511064802,0.5281567573547363,0.3161072731018066,0.0036212912589698,0.0869109902152757,77.67404837985,16.98614829091
14,245973053,3531.7686,4.8287,2.0,78.86652966168185,0.1123734802386025,0.122589216203778,0.1021577442734269,3.045046329498291,3.0840158462524414,3.0060768127441406,0.0010566375075816,0.0253593001819594,355.69442280111,-10.19449513878
15,246740198,3860.2808,4.7339,8.0,80.54202610412904,0.1455759798163853,0.2451797229878138,0.0817265368459629,0.593113899230957,0.8770942687988281,0.3925442695617676,0.0041386261242345,0.0993270269816303,72.44708749705,15.06482976583
16,249253386,4218.924,4.4165,3.0,87.97947426208702,0.1021594513489011,0.1430217052547959,0.0817275917943334,1.1545817057291667,1.508784294128418,0.7286667823791504,0.0014207859395434,0.0340988625490433,230.10019861852,-24.97861882773
17,205910644,3426.2656,4.8061,3.0,69.14101342594222,0.102158558331818,0.1430209432000992,0.0817266638550791,6.422881285349528,12.475383281707764,3.253173828125,0.0018078994478998,0.0433895867495974,338.25639300074,-17.78041588012
18,212878593,3800.0884,4.7079,9.0,67.04867997996189,0.12715507066039,0.2043564576597418,0.0817425729401293,0.377255015903049,0.4881739616394043,0.2000093460083007,0.0055929512723005,0.1342308305352131,203.07984055832,-2.82047653902
19,211336747,3708.2605,4.7477,15.0,74.80080426851782,0.1743528228898261,0.3473413998872274,0.1021590235613985,2.5464479128519693,4.811298847198486,1.0625600814819336,0.0083555251325425,0.2005326031810222,132.02583268068,10.57253889
20,213488455,3544.6018,4.3625,10.0,81.33893077287212,0.1144185158016625,0.1634586085347109,0.0817264072466059,4.970062971115112,7.783663272857666,2.955043315887451,0.0051225982774491,0.1229423586587785,290.83049950355,-29.24742249537
21,210456166,3468.143,4.5831,17.0,70.83715771949937,0.1310039857006118,0.2247477286218782,0.081726175492804,0.9151297457077924,2.1287083625793457,0.3553032875061035,0.0099994601158079,0.2399870427793915,65.59770543833,14.63808754738
22,249159746,4084.8223,4.6736,18.0,87.9794912251964,0.1906971861054545,0.7355490378395189,0.0817275543158757,1.821316613091363,6.557321548461914,0.8965611457824707,0.0085247139936313,0.2045931358471528,229.37365519865,-26.19014362098
23,249165479,3820.6404,4.6897,1.0,87.97962911448849,0.1430270187993301,0.1430270187993301,0.1430270187993301,1.7983317375183103,1.7983317375183103,1.7983317375183103,0.0004735944796089,0.0113662675106153,236.47446347224,-26.1165616357
