EPIC ID,Teff,logg,Flare #,Observation time,Average flare duration,Longest flare duration,Shortest flare duration,Average percentage increase,Highest percentage increase,Lowest percentage increase,Flares per hour,Flares per day,RA,Dec
251629223,3389.3176,4.2321,2.0,67.04854375779541,0.0817427050460537,0.0817427451111143,0.0817426649809931,2.630329132080078,2.874422073364258,2.3862361907958984,0.0012428805856599,0.029829134055838,200.64785346206,-0.54546588413
211490411,3592.0051,4.3961,1.0,74.80068109610147,0.1634537264326354,0.1634537264326354,0.1634537264326354,56.60378932952881,56.60378932952881,56.60378932952881,0.0005570359260918,0.0133688622262039,123.22592068829,13.00079663851
213812502,3690.9827,4.7559,12.0,81.33897275363415,0.13280830062043,0.2451843089365866,0.0817267133825225,4.456391930580139,8.361434936523438,3.1171798706054688,0.0061471147602815,0.1475307542467562,292.93180585437,-28.20259849712
246749220,3497.5283,4.8189,2.0,80.5420959903422,0.1123744565884408,0.143022500022198,0.0817264131546835,2.100783586502075,2.5309205055236816,1.6706466674804688,0.0010346556332892,0.0248317351989426,74.88081090382,15.17065300417
210458488,3374.0647,4.837,2.0,70.85758535769855,0.1021588943440292,0.1021595519705442,0.1021582367175142,3.322339057922364,4.186797142028809,2.457880973815918,0.0011760679243112,0.0282256301834691,65.49493723779,14.68145468648
228724267,3441.8528,4.9003,1.0,69.12069822431658,0.1021582667453913,0.1021582667453913,0.1021582667453913,2.334010601043701,2.334010601043701,2.334010601043701,0.0006028102686614,0.0144674464478745,184.92954602122,-10.14436703134
228756336,3734.2766,4.7073,9.0,68.79376315344416,0.1793453627857767,0.3677708298928337,0.0817269022154505,1.7435921563042536,3.253459930419922,1.017916202545166,0.0054510755453741,0.1308258130889793,184.93307158754,-8.64214964533
249147060,3950.3066,4.701,11.0,87.97950820856204,0.1894579276122385,0.4699280232889578,0.1021584248373983,2.60524641383778,3.576040267944336,1.5833258628845217,0.0052095464349132,0.1250291144379174,230.35630619619,-26.34872225194
201087808,3332.6738,4.8518,2.0,68.79375423160673,0.3575550511450274,0.5925189696572488,0.1225911326328059,3.0688226222991943,3.83906364440918,2.298581600189209,0.0012113502782938,0.0290724066790516,180.58534887435,-6.93799977902
245948693,4165.9727,4.2719,10.0,78.86647669503873,0.1614114455973322,0.3677677113591926,0.0817262263662996,2.918562889099121,5.605769157409668,1.4643430709838867,0.0052831910860914,0.1267965860661944,353.85701133288,-10.89485251464
248429712,3477.5938,4.5387,8.0,79.66390003089327,0.1762267753119886,0.3882162781737861,0.1021588732764939,2.303588390350342,2.886438369750977,1.8349647521972656,0.0041842457274131,0.1004218974579155,159.06372376596,0.72388920958
245930439,3463.9,4.9053,6.0,78.86637358773442,0.1225912140434957,0.163456557180325,0.0817261335178045,3.868019580841065,8.065497875213623,1.4539599418640137,0.003169918795897,0.0760780511015298,349.27069628899,-11.6955486901
249221761,3528.933,4.7752,1.0,87.9794951754011,0.1021585058115306,0.1021585058115306,0.1021585058115306,2.72446870803833,2.72446870803833,2.72446870803833,0.0004735952006043,0.0113662848145052,230.91973578511,-25.39319755594
201151020,4002.2874,4.6544,2.0,79.97024640219752,0.2349707097164355,0.3473495149664813,0.1225919044663896,1.91829800605774,2.511417865753174,1.325178146362305,0.0010420542274463,0.0250093014587115,173.85206682671,-5.27172107632
228764967,3589.22,4.7292,4.0,68.79376046820835,0.1021585309299553,0.1021586694332654,0.1021583430556347,7.512325048446655,10.197687149047852,3.575289249420166,0.002422700336954,0.0581448080868979,182.38555289942,-8.26413573773
249204601,3559.369,4.3911,30.0,87.97948857861047,0.155281425921809,0.4494973322798614,0.0817265989026054,9.270511070887247,16.363966464996338,4.411768913269043,0.0142078570834509,0.340988570002822,230.15309307317,-25.61656595622
228716168,3643.8752,4.8345,7.0,68.79379631574557,0.1167526294271478,0.1430220679976628,0.1021582773391855,13.090545790536064,22.489261627197266,1.1295318603515625,0.0042397233804047,0.1017533611297133,186.4181517468,-10.54196263868
228719429,3640.9358,4.7335,17.0,69.12070831321762,0.1406186306468204,0.2247491049638483,0.1021582984103588,2.1589054780847885,3.623807430267334,1.4487862586975098,0.010247773071473,0.2459465537153526,186.72296579765,-10.37998782737
210374294,3429.7358,4.4454,1.0,70.8574631319716,0.1838866920807049,0.1838866920807049,0.1838866920807049,10.55433750152588,10.55433750152588,10.55433750152588,0.000588034976486,0.014112839435664,62.41837367758,12.85437363751
228727630,3598.789,4.6054,1.0,69.12070020198007,0.0817266729281982,0.0817266729281982,0.0817266729281982,1.2906193733215332,1.2906193733215332,1.2906193733215332,0.0006028102514139,0.0144674460339357,186.40945726662,-9.97952840741
246667147,3768.9534,4.6488,1.0,80.54201715691306,0.1225904457824071,0.1225904457824071,0.1225904457824071,6.746244430541992,6.746244430541992,6.746244430541992,0.000517328322998,0.0124158797519533,71.64952192951,14.149449345
248485694,3693.2244,4.7851,2.0,79.6637735820841,0.1328066565438348,0.1430228867466212,0.1225904263410484,1.8193364143371584,2.077686786651612,1.560986042022705,0.0010460630922469,0.025105514213926,156.21255119132,2.68372188131
201192602,3330.8887,4.9071,0.0,79.97016124648508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.47319773963,-4.27545121513
211312995,3324.2136,4.8704,5.0,74.80078664649773,0.1185043900666642,0.1634541336534312,0.0817266244703205,4.965105056762695,8.634030818939209,1.61057710647583,0.0027851757003291,0.0668442168079004,130.38666750455,10.11351854259
