EPIC_ID,TIC_ID,RA,DEC,(BP-RP)_0,Amag,Dist,Plx,Gmag,AG,BP-RP,E(BP-RP),Teff,logg,Flare #,Observation time,Average flare duration,Longest flare duration,Shortest flare duration,Average percentage increase,Highest percentage increase,Lowest percentage increase
211483096,TIC 6892642,125.415998,12.894022,1.851741,8.403480503000765,466.5920119447555,2.1432,16.835367,0.0872,1.899741,0.048,3643.9,4.4983,1,48.833813774377404,0.12500358313150173,0.12500358313150173,0.12500358313150173,5.515813827514648,5.515813827514648,5.515813827514648
220146547,TIC 248344677,16.641115,-2.021223,1.914523,8.669946738304041,332.2811098189068,3.0095,16.682775,0.4053,2.147723,0.2332,3713.5,4.6929,0,47.54198865565945,0.0,0,0,0.0,0,0
228741304,TIC 98582726,184.902421,-9.320982,1.212753,6.579000681457888,981.546917942678,1.0188,16.607756,0.0692,1.249653,0.0369,4636.5,4.6911,0,24.999563155757187,0.0,0,0,0.0,0,0
201186806,TIC 173163015,173.104585,-4.41445,1.879313,8.562376429961482,394.4150824327522,2.5354,16.692944,0.1508,1.962513,0.0832,3598.7,4.437,0,24.56265206615558,0.0,0,0,0.0,0,0
211391216,TIC 366399369,126.180449,11.503598,2.235945,9.396261960002771,234.60410557184755,4.2625,16.67814,0.4302,2.507045,0.2711,3523.2,4.7818,1,48.8338578709654,0.27084152631778124,0.27084152631778124,0.27084152631778124,18.716275691986084,18.716275691986084,18.716275691986084
201230665,TIC 38138355,170.440473,-3.501801,2.068992,8.792513400936148,352.3980688585827,2.8377,16.785381,0.2577,2.223492,0.1545,3612.2,4.5765,1,24.562532993564673,0.3125000863594778,0.3125000863594778,0.3125000863594778,82.6007604598999,82.6007604598999,82.6007604598999
210362637,TIC 242883974,58.095667,12.559918,1.915675,8.430438653559538,303.67446097783176,3.293,16.64418,0.8017,2.384175,0.4685,3771.1,4.7134,2,52.040972128881094,0.20832953714045743,0.24999095723092069,0.16666811704999418,105.50949573516846,188.84069919586182,22.178292274475098
201214058,TIC 38085593,169.435393,-3.770569,2.262776,8.597059047895288,406.8513771919118,2.4579,17.203138,0.5589,2.616776,0.354,3519.2,4.6896,1,24.56249828282398,0.10416703774694724,0.10416703774694724,0.10416703774694724,65.23110866546631,65.23110866546631,65.23110866546631
245952353,TIC 402313033,353.505605,-10.779978,1.3992,6.874362858432876,812.4136810463888,1.2309,16.562449,0.1392,1.4726,0.0734,4461.9,4.6558,1,54.70880562092043,0.0833341706054398,0.0833341706054398,0.0833341706054398,18.92879009246826,18.92879009246826,18.92879009246826
201267664,TIC 38161038,171.262784,-2.94031,1.615627,7.570257655546928,550.8427894678858,1.8154,16.717096,0.4417,1.857127,0.2415,4157.0,4.5453,0,24.562555708837863,0.0,0,0,0.0,0,0
201269867,TIC 38206247,171.484491,-2.90735,1.81733,7.751757373378878,674.1270055278414,1.4834,16.895466,0.0,1.81733,0.0,nan,nan,0,24.562563815774183,0.0,0,0,0.0,0,0
201396753,TIC 53207890,166.846384,-1.010936,1.505888,7.3514083906194685,612.9328838492186,1.6315,16.722273,0.4338,1.738188,0.2323,4210.8,4.4907,0,24.562350961122775,0.0,0,0,0.0,0,0
245945468,TIC 8964277,354.565898,-11.004588,1.486069,6.909041267728568,788.6435331230284,1.268,16.741945,0.3485,1.671669,0.1856,4297.4,4.6536,0,54.7088453504407,0.0,0,0,0.0,0,0
201159893,TIC 49416921,173.484716,-5.059053,1.748296,7.651598502849136,551.1767623876977,1.8143,16.724653,0.3666,1.952096,0.2038,3986.0,4.5834,2,24.56267752141457,0.28125624024983154,0.41667834506733925,0.14583413543232382,27.76118516921997,34.00685787200928,21.515512466430664
210348130,TIC 242939918,58.341682,12.169607,2.288597,9.651750389097588,111.12222333344448,8.9991,15.388455,0.5077,2.609997,0.3214,3465.8,4.8242,34,229.85857491114007,0.20725525962559324,0.9352394430788991,0.009259740398192662,7036.284991572885,102938.97705078125,4.955041408538818
211418707,TIC 366631684,130.167596,11.922058,2.047285,8.75345932025979,318.31927423205474,3.1415,16.696074,0.4283,2.302985,0.2557,3656.2,4.7502,0,48.834014354051305,0.0,0,0,0.0,0,0
211524371,TIC 386589156,123.961507,13.482809,1.572338,7.542272417563431,582.7505827505827,1.716,16.624086,0.2544,1.709538,0.1372,4230.8,4.6628,0,48.83374945583682,0.0,0,0,0.0,0,0
248478477,TIC 277833011,156.274972,2.440417,2.518475,10.72616523318964,109.75743606629348,9.111,16.514935,0.5866,2.902975,0.3845,3316.6,4.9668,1,49.14662275249452,0.20834174478159184,0.20834174478159184,0.20834174478159184,294.36142444610596,294.36142444610596,294.36142444610596
201369307,TIC 53207375,166.672766,-1.422149,1.477615,7.330429148951609,667.6904587033451,1.4977,16.755505,0.3022,1.638415,0.1608,4360.1,4.6286,2,24.56235109491604,0.13541761912347283,0.16666822997990494,0.10416700826704073,100.78034996986389,161.7769479751587,39.78375196456909
210363300,TIC 242961189,58.993079,12.576936,2.185189,9.155409326579994,218.6318021819454,4.5739,16.627876,0.7739,2.667289,0.4821,3512.7,4.7024,2,52.04101093625968,0.21874322851635952,0.35415432468835206,0.08333213234436698,429.3837249279022,841.4626121520996,17.304837703704834
210398806,TIC 389019378,61.651205,13.439219,2.094316,8.902401116187452,229.7635732830917,4.3523,16.619907,0.9111,2.648116,0.5538,3582.4,4.6761,1,52.04113302713358,0.0833328708015415,0.0833328708015415,0.0833328708015415,9.16227102279663,9.16227102279663,9.16227102279663
201390096,TIC 53210081,166.929119,-1.110539,1.814963,7.335524195643579,748.6150621350502,1.3358,16.719017,0.0122,1.821663,0.0067,3667.3,4.2015,0,24.562355857505963,0.0,0,0,0.0,0,0
211387815,TIC 366576604,127.898558,11.448024,2.340386,8.976637460975354,271.370420624152,3.685,16.65425,0.5098,2.669086,0.3287,3420.7,4.5006,1,48.83392791150436,0.1250041420639718,0.1250041420639718,0.1250041420639718,9.893548488616943,9.893548488616943,9.893548488616943
245987596,TIC 423612338,353.703891,-9.802514,1.417834,6.989685317210435,759.589821496392,1.3165,16.451681,0.0591,1.448734,0.0309,4413.0,4.1876,0,54.70883244243646,0.0,0,0,0.0,0,0
248541905,TIC 277713555,153.585389,4.332677,1.342612,6.382566177118086,1060.8953957139825,0.9426,16.557129,0.0462,1.366712,0.0241,4559.0,4.4664,2,49.146489188492296,0.0937514732058844,0.10416664031458822,0.08333630609718057,62.07072138786316,108.43679904937744,15.704643726348877
201221495,TIC 173096658,171.930334,-3.638051,1.869865,7.616598165190982,645.2861844227915,1.5497,16.75696,0.0916,1.920465,0.0506,3639.5,4.2506,0,24.562593395804697,0.0,0,0,0.0,0,0
201225541,TIC 38159769,171.206559,-3.576973,1.659659,8.025394526282762,452.2022248349463,2.2114,16.524958,0.2229,1.779959,0.1203,3930.7,4.7614,3,24.562564143778218,0.09027813681033574,0.10416675757028315,0.08333346352719673,65.79421361287434,115.55771827697754,20.60847282409668
245953720,TIC 49785585,353.156995,-10.737847,1.437038,7.0351230646299,808.2114281095935,1.2373,16.711548,0.1388,1.510338,0.0733,4337.2,4.6313,0,54.708791903691235,0.0,0,0,0.0,0,0
210387767,TIC 242968648,59.361385,13.179644,1.986726,8.905582423093138,293.64263691087945,3.4055,17.076078,0.8314,2.481726,0.495,3604.5,4.6815,3,26.020529440882456,0.22916094692444253,0.3958198322713997,0.0833325459657317,313.2144053777059,909.0889930725098,3.141188621520996
248420233,TIC 374349838,160.730141,0.360854,1.467294,7.419278130080565,640.0,1.5625,16.759478,0.3093,1.632094,0.1648,4349.2,4.5813,1,24.562090795537415,0.18749657571083844,0.18749657571083844,0.18749657571083844,120.426344871521,120.426344871521,120.426344871521
211411197,TIC 366527504,127.419211,11.809992,2.948183,10.397133348750984,190.352914303118,5.2534,16.794931,0.0,2.948183,0.0,nan,nan,1,48.83390506307023,0.2708420370756812,0.2708420370756812,0.2708420370756812,17.378485202789307,17.378485202789307,17.378485202789307
