EPIC_ID TIC_ID
212356048 297143306
202909059  68255276
246786764 293830360
246795385 245819988
210425611 435910664
220175332 248383125
210513593 245799490
213470603 168820976
206026652 146163862
211340040 366355413
211406399 366410249
251605591 115010633
210397036 389051511
228720824 176941311
211542901  27650749
202748341 383173091
205919060 188569974
245935401  49690018
246697679  59091000
211493624  27654333
246631226 436661956
251598273 115078869
251457103         0
237987964 151503029
249152551 147745802
212323171 335041228
246719502 436566234
213279447  30911555
210444167 435920541
246812118 245895478
202633544 205749151
246685193 389136129
212205146 126278130
210416404 435881929
238003532 153126934
246723162  59206049
249175306 225884682
202911961 323181418
213410372 168442621
213873758 169578947
213387881 168441252
246810725 293696303
211311439 443995718
210437885 389008490
235785614  82657890
246023153   9068119
251552647 130712175
246019089   9068085
249132954  23956172
202876718  98371994
213536762 109427800
202915229  68053819
246757104 245899082
220244848 399732990
237940974 152332064
201371239 443583062
237890148 156542523
220154470 248345334
203251302  77470695
228739714 176868865
248433514 374338222
249114143 292265382
201185259 173102267
201370145 443588682
228737206 176910071
248484553 277888246
202602753  68414419
249135451 147745572
228721593 176943111
246698204  59090991
228759924 152829041
220182821 423360672
240263339 201337469
201232619 443614759
220154484 248345333
245925582   4554210
212286667 203382522
210411201 435909166
205924248  12723961
235620353 158261960
248476320 277810712
248477109 277812620
246778300 245863570
246806928 245823555
213639687   1395063
212291429 392467406
237878134 151492776
202544694  68056555
228739602 176867456
248469579 277914350
213332010   1640268
233193088  44476593
202851479  68327687
202818196  68431895
228705867 380198226
210451451 434230572
202585031 175587731
240416971 192505238
242149868 163645189
205910823  12861127
228730861 380195405
246743532 293702215
242136287 163645881
202802118 383064069
249119329 226023958
220232774 380886682
213554577 168149685
202582420 175587713
228739655  98628241
246816662 389121767
246732653 245860484
203301463  66744063
213803033 168035699
210418945 242990552
201170396  81986423
246775335 436590739
245932815 423612056
249132429  23840445
220145469 248348850
237881090 158345524
210443796 311151363
202719324 392328931
210371757 434135029
201206850 443617661
202907765 323013542
205904628  69747919
211310696 366623694
210437218 435910772
240269745 109098617
211368549 437039723
235636710  85954780
212369832 335010095
205917956  12858196
213809117 169573910
211392382 443965212
245931653   4602705
220168379 248353970
212873074 115083208
205924422 188569689
249216625 225953214
205924063  12770199
201171432  49416976
249128577 292265209
202906457 323023451
246818597 245899442
251548129 130716941
246748626 245860592
211439345   6991926
246703977 436670062
245920958 434099579
245924476 434103853
242106097 100318305
245981319   8962387
246025837   9005699
251552644 130712175
249106915 147816381
246755660 303593028
206019392 188580272
220161242 269504380
248451182 277875133
237969415 151503691
212338044 405675910
212188620 126319605
220220139 399702726
