,Unnamed: 0.1,Unnamed: 0,TIC ID,Teff,logg,Flare #,Observation time,Average flare duration,Longest flare duration,Shortest flare duration,Average percentage increase,Highest percentage increase,Lowest percentage increase,Flares per hour,Flares per day
0,0,0, TIC 173163511,4142.84,4.63,2,101.69043112861414,0.2569541538871362,0.4375121510324788,0.0763961567417936,0.6984114646911621,0.857245922088623,0.5395770072937012,0.0008194805785407336,0.019667533884977606
1,1,1, TIC 323021985,4212.16,4.47,2,55.832783586499545,0.6666740982276451,0.7500080412553416,0.5833401551999486,13.407939672470093,14.323341846466064,12.49253749847412,0.0014925520094162647,0.03582124822599035
2,2,2, TIC 138660274,4036.32,4.63,7,131.1448421118007,0.0803561922868669,0.3124984780561135,0.0277771830074016,176.35313783373152,947.1732139587402,0.5158305168151855,0.0022240041008858087,0.05337609842125941
3,3,3, TIC 9632627,4233.24,4.55,21,188.42648142098253,0.1140882828607833,0.4583436478860676,0.0277778825393397,-3658.8567008535015,27120.047552005093,-43320.346272200026,0.004643720953665077,0.11144930288796186
4,4,4, TIC 87755490,4128.93,4.37,7,80.35485504258804,0.0605152035146992,0.0902768339201429,0.0277774817222962,4.860113348279681,11.143720149993896,1.2417197227478027,0.003629732970236627,0.08711359128567904
5,5,5, TIC 130717078,3726.09,4.53,10,155.89479710982255,0.1138912121082739,0.3888890128864659,0.0277797644757811,104.8529815673828,1026.718521118164,0.8523821830749512,0.002672742608421622,0.06414582260211893
6,6,6, TIC 23681461,3905.13,4.28,1,26.687932590687524,0.2916759346135222,0.2916759346135222,0.2916759346135222,7.269394397735596,7.269394397735596,7.269394397735596,0.0015612549426629553,0.03747011862391093
7,7,7, TIC 152773057,3797.94,4.45,13,125.53375453809416,0.3002211669033841,1.7152828789357957,0.0277784579293438,22.38022822600145,207.93418884277344,1.0739684104919434,0.004314908517312719,0.10355780441550526
8,8,8, TIC 188580163,3639.09,4.05,17,262.77526201769456,0.0906851655888524,0.208332824986428,0.0277778642839621,3402.804865395551,54644.172512273486,0.7812738418579102,0.002695586060477931,0.06469406545147034
9,9,9, TIC 380166444,3435.72,4.1,11,175.3185245386362,0.4091074804243403,1.2291778959477142,0.034725611154954,148.43100309371948,1396.7463493347168,0.4458785057067871,0.0026142892460421494,0.06274294190501159
10,10,10, TIC 38143679,4168.12,4.56,12,126.80347810596528,0.175936007927343,0.5208846202162931,0.0277797697881396,66.15931689739227,187.95111179351807,2.44135856628418,0.003943109506682201,0.09463462816037281
11,11,11, TIC 385751622,4168.92,4.23,4,87.00016695168392,0.1145820391830056,0.1666656108573079,0.0833325218409299,705447.2412924919,811441.6598704305,598289.364225951,0.0019157051360513598,0.04597692326523264
12,12,12, TIC 389018999,4079.9,4.26,17,305.17078558339927,0.1049844232620136,0.3749887821797983,0.0277772876083872,-4185.514495225584,12897.22365200406,-50696.200362273295,0.0023211046626865103,0.05570651190447625
13,13,13, TIC 110976189,3871.56,4.57,1,50.08278663683109,0.0833341138779815,0.0833341138779815,0.0833341138779815,0.776362419128418,0.776362419128418,0.776362419128418,0.0008319558368188887,0.01996694008365333
14,14,14, TIC 23761522,3984.94,4.53,2,53.02170130526838,0.0798636684780831,0.125004000618901,0.0347233363372652,4.901188611984253,7.461357116699219,2.341020107269287,0.0015716835047134392,0.03772040411312254
15,15,15, TIC 114958811,3639.45,4.12,20,79.36398685263634,0.1197931023110982,0.2916762814811591,0.0277776863090366,317.22060918807983,3789.8902893066406,1.49000883102417,0.010500144541385918,0.25200346899326204
16,16,16, TIC 277812260,4117.48,4.66,16,223.73379870631533,0.15061441178986,0.5416890067040185,0.0277802059840723,185.8955562114716,1087.304973602295,0.7406115531921387,0.002979731585131526,0.07151355804315662
17,17,17, TIC 169683436,4140.38,4.52,6,77.95888680697271,0.274310893540246,0.895841378875275,0.0833359214536813,17.06784963607788,35.66000461578369,2.19411849975586,0.003206818494201995,0.07696364386084788
18,18,18, TIC 388735741,4243.39,4.68,3,53.75067446626849,0.145837274078076,0.2291744857325284,0.0833360790186361,2417.397658030192,7146.596527099609,6.177842617034912,0.0023255522138321146,0.05581325313197075
19,19,19, TIC 435925357,3167.6,4.03,10,305.2701614552643,0.1208356187786421,0.354176633991301,0.0277774500887062,4739.644923696996,46699.74693105218,-500.32714893065526,0.001364911213989471,0.032757869135747304
20,20,20, TIC 117413911,4137.24,4.23,12,204.71365996736563,0.4462189839956825,1.3056453761896591,0.0277805986352177,75.13081232706706,595.3807830810547,0.8659839630126953,0.0024424359374929224,0.05861846249983014
21,21,21, TIC 436572652,4193.93,4.66,3,253.30022839495012,0.1273189380600949,0.1874971714132698,0.0486139637232554,231.85513416926065,609.8878860473633,2.507364749908448,0.0004934855400331414,0.011843652960795393
22,22,22, TIC 185686675,4246.18,4.64,3,103.86950234429172,0.1412060702897785,0.208336043136569,0.0833344007201049,218.1682308514913,649.8656272888184,1.0792970657348633,0.0012034331269410337,0.028882395046584807
23,23,23, TIC 396743074,4115.38,4.58,1,48.834034010420055,0.2916775206379043,0.2916775206379043,0.2916775206379043,16.443705558776855,16.443705558776855,16.443705558776855,0.000853230078387052,0.02047752188128925
24,24,24, TIC 130725798,4126.38,4.68,17,79.36413564693657,0.629503798127229,3.1874967532535265,0.0277797917606221,804.955475470599,5144.791793823242,2.430868148803711,0.00892510612708569,0.21420254705005654
25,25,25, TIC 245866832,4244.18,4.66,10,305.2784490274221,0.1236118411035704,0.3749931148242922,0.0416663931928269,-28391.43507443232,326.393461227417,-172996.40062749095,0.0013648741599484443,0.03275697983876266
