TICID,RAdeg,DEdeg,Teff,logg
81986423,103.0289346,15.5475792,6068.0396,4.0773
436590739,101.4148036,15.26709125,6116.451,4.2896
423612056,98.8243984,16.37832699,6093.423,4.1583
23840445,91.811741,17.55120783,,
248348850,94.97249677,16.92428066,6517.4663,4.1221
158345524,97.51593938,15.11426485,6409.04,4.1468
311151363,100.6399507,15.28902927,6302.6523,4.1185
392328931,102.4573806,16.79008119,6561.7754,3.964
434135029,100.3486592,15.83845599,,
443617661,99.26239203,15.6833758,4801.6636,2.479
323013542,100.6463824,15.25494705,4945.683,3.5855
69747919,99.65709272,15.90206786,,
366623694,100.6202813,15.44737066,4449.338,2.1071
435910772,99.79668282,15.47190725,5591.81,3.3809
109098617,101.9217716,16.59160957,,
437039723,103.1626154,16.91218474,5445.4814,2.9526
85954780,95.62489994,16.12782839,5282.794,2.7393
335010095,95.28617367,15.07099372,5046.719,2.6714
12858196,181.8242772,-8.90543346,5560.546,4.0168
169573910,354.8173812,-9.151465652,7496.736,4.0145
443965212,153.9423601,4.015061797,6720.0767,4.0549
4602705,229.6251181,-25.87535223,5067.076,3.5475
248353970,257.0626435,-30.47052143,,
115083208,73.20679675,13.6179141,5573.195,3.3455
188569689,230.0193948,-26.24443512,,
225953214,160.8967685,0.50013113,6208.3423,4.0848
12770199,176.2611942,-5.848499229,6057.7114,4.2896
49416976,261.1368754,-29.53653721,,
292265209,128.1075677,12.10974514,7344.44,3.803
323023451,257.2555783,-30.59907246,,
245899442,74.79325317,16.08516873,,
130716941,162.2591427,0.290584656,5802.6655,4.3349
245860592,134.0103638,23.51917415,,
6991926,203.0554254,-2.343094172,6048.633,4.2213
436670062,14.57817257,-0.349768685,5603.7886,4.2328
434099579,181.8822703,-9.228468619,,
434103853,243.2595449,-28.41749559,6590.9536,3.9855
100318305,182.7829356,-8.515452617,6565.7466,4.1036
8962387,286.1036884,-30.20089211,5625.179,4.5116
9005699,258.8837302,-30.55017204,,
130712175,264.5962723,-29.55106029,,
147816381,336.9975115,-18.19015983,,
