TICID,Teff,logg
 TIC 12787378, 3459.04, 4.85
 TIC 357492962, 3742.65, 4.64
 TIC 191798205, 4098.29, 4.67
 TIC 366622655, 4012.77, 4.44
 TIC 49427310, 3428.06, 4.87
 TIC 49735932, 3542.94, 4.77
 TIC 444006028, 4241.39, 4.67
 TIC 335696736, 4203.68, 4.42
 TIC 106574776, 3261.93, 4.85
 TIC 277812143, 3882.69, 4.66
 TIC 157836962, 3989.83, 4.66
 TIC 176940537, 3523.53, 4.53
 TIC 436637490, 4147.19, 4.68
 TIC 366568155, 3573.27, 4.75
 TIC 197217715, 3538.62, 4.73
 TIC 311365731, 3437.84, 4.97
 TIC 357513159, 3577.73, 4.26
 TIC 404420725, 3774.74, 4.47
 TIC 443588637, 4226.64, 4.34
 TIC 287301748, 3836.23, 4.20
 TIC 269533151, 4164.67, 4.66
 TIC 277776499, 4205.94, 4.53
 TIC 292202541, 3660.77, 4.72
 TIC 38160764, 3593.85, 4.71
 TIC 191793649, 3537.15, 4.75
 TIC 243245808, 4073.11, 4.69
 TIC 435333070, 3595.77, 4.45
 TIC 366354694, 4220.48, 4.66
 TIC 5741492, 3583.24, 4.89
 TIC 374270993, 3390.51, 4.87
 TIC 405672718, 3973.82, 4.73
 TIC 175697769, 4124.00, 4.65
 TIC 152827674, 3600.27, 4.58
 TIC 380943158, 3902.38, 4.33
 TIC 434101710, 3661.50, 4.35
 TIC 386892945, 3437.71, 4.91
 TIC 49544793, 4240.33, 4.56
 TIC 126319465, 3411.39, 4.72
 TIC 130714853, 4152.30, 4.66
 TIC 201979726, 3512.15, 4.48
 TIC 281777509, 4131.09, 4.69
 TIC 9065285, 4207.23, 4.66
 TIC 374312600, 3368.39, 4.88
 TIC 396734341, 4128.31, 4.38
 TIC 387143067, 4168.81, 4.60
 TIC 336878177, 3445.55, 4.85
 TIC 307585255, 4049.24, 4.67
 TIC 385814111, 4205.90, 4.68
 TIC 438153873, 3484.35, 4.30
 TIC 59616469, 3718.97, 4.30
 TIC 49710854, 3451.70, 4.80
 TIC 27679382, 4215.29, 4.64
 TIC 9068352, 4235.29, 4.64
 TIC 98373149, 3404.22, 4.87
 TIC 366399048, 4215.34, 4.58
 TIC 117271952, 3898.95, 4.40
 TIC 248344776, 4131.98, 4.29
 TIC 138660478, 3428.36, 4.62
 TIC 176944089, 3553.43, 4.61
 TIC 366623224, 3426.68, 4.44
 TIC 176909194, 3973.89, 4.68
 TIC 411692064, 3264.75, 4.60
 TIC 437335877, 3474.79, 4.83
 TIC 176937902, 4167.49, 4.39
 TIC 366500112, 3486.74, 4.82
 TIC 8940252, 3702.90, 4.20
 TIC 110996963, 4166.86, 4.38
 TIC 225801933, 4200.83, 4.28
 TIC 458655160, 3456.70, 4.41
 TIC 335011089, 3526.74, 4.74
 TIC 429301394, 3519.15, 4.80
 TIC 176910008, 3433.76, 4.58
 TIC 8918780, 3897.82, 4.28
 TIC 4602731, 4207.49, 4.66
 TIC 293612575, 4204.57, 4.65
 TIC 291108366, 4131.30, 4.69
 TIC 85991461, 3698.75, 4.55
 TIC 349132415, 3686.10, 4.20
 TIC 335011043, 4134.49, 4.66
 TIC 374178196, 3578.14, 4.04
 TIC 27636639, 3517.97, 4.83
 TIC 374273112, 3780.96, 4.69
 TIC 173165491, 3511.60, 4.58
 TIC 248346674, 3514.56, 4.79
 TIC 191798248, 3625.24, 4.82
 TIC 366568724, 3528.19, 4.64
 TIC 269533147, 3562.19, 4.75
 TIC 152853430, 3717.98, 4.24
 TIC 49733236, 3807.86, 4.68
 TIC 186818013, 3861.27, 4.28
 TIC 152720175, 3378.80, 4.72
 TIC 366400056, 3703.83, 4.85
 TIC 468988873, 4199.45, 4.62
 TIC 27679105, 3470.37, 4.80
 TIC 392466958, 4178.23, 4.52
 TIC 38159608, 3627.16, 4.32
 TIC 468992425, 3475.84, 4.89
 TIC 277840121, 3653.04, 4.70
 TIC 138709159, 4198.54, 4.57
 TIC 20537341, 3881.42, 4.69
 TIC 374273257, 3827.16, 4.43
 TIC 291074991, 3553.04, 4.89
 TIC 392036376, 3601.92, 4.35
 TIC 60254723, 4170.02, 4.53
 TIC 405676728, 3512.95, 4.43
 TIC 392321494, 3472.12, 4.81
 TIC 240663515, 3452.68, 4.01
 TIC 98372245, 3747.72, 4.55
 TIC 117414401, 4166.70, 4.65
 TIC 9063214, 4205.56, 4.54
 TIC 9070203, 3551.96, 4.42
 TIC 349132718, 4246.02, 4.61
 TIC 49733432, 3607.85, 4.71
 TIC 82054861, 3985.20, 4.77
 TIC 38131704, 3560.56, 4.62
 TIC 458655452, 3342.66, 4.78
 TIC 335041232, 4203.80, 4.36
 TIC 22556511, 3623.81, 4.29
 TIC 117166251, 4186.66, 4.68
 TIC 176911422, 3559.94, 4.70
 TIC 434233219, 3729.48, 4.75
 TIC 117162525, 3752.87, 4.70
 TIC 374296666, 4120.05, 4.47
 TIC 335007062, 3516.47, 4.68
 TIC 98582652, 3565.08, 4.05
 TIC 9053252, 3529.59, 4.50
 TIC 293893366, 3460.44, 4.80
 TIC 293637097, 3410.55, 4.80
 TIC 277711893, 3490.67, 4.86
 TIC 366622532, 4198.13, 4.54
 TIC 350497577, 4141.01, 4.50
 TIC 38132289, 3950.18, 4.64
 TIC 49735994, 3927.84, 4.74
 TIC 82071770, 4198.23, 4.50
 TIC 323182135, 4234.86, 4.64
 TIC 399722458, 4210.85, 4.65
 TIC 245951040, 3461.01, 4.47
 TIC 49418908, 4187.80, 4.38
 TIC 9632533, 3711.57, 4.75
 TIC 436643260, 3689.93, 4.72
 TIC 335104009, 4207.61, 4.62
 TIC 335103656, 3380.71, 4.80
 TIC 293837454, 3990.95, 4.48
 TIC 176938969, 4165.65, 4.31
 TIC 8961593, 3435.45, 4.89
 TIC 366410917, 4010.03, 4.56
 TIC 117220119, 3508.44, 4.85
 TIC 49677690, 4199.94, 4.64
 TIC 27679044, 3530.49, 4.07
 TIC 357493521, 4195.76, 4.66
 TIC 422323977, 3566.66, 4.83
 TIC 436667028, 3546.06, 4.52
 TIC 152740142, 3405.18, 4.95
 TIC 9097851, 3530.78, 4.65
 TIC 437038450, 4246.56, 4.64
 TIC 23016472, 3454.49, 4.73
 TIC 9004385, 3572.76, 4.19
 TIC 396734112, 3999.88, 4.71
 TIC 98667672, 3802.97, 4.70
 TIC 389121999, 3896.28, 4.66
 TIC 443614715, 3865.11, 4.29
 TIC 173108630, 4142.57, 4.35
 TIC 44462335, 3677.87, 4.74
 TIC 175695769, 3435.93, 4.92
 TIC 197217740, 4194.38, 4.70
 TIC 269486084, 3662.13, 4.39
 TIC 248349273, 3943.34, 4.70
 TIC 293766051, 3658.23, 4.85
 TIC 47377449, 4057.87, 4.64
 TIC 117509013, 3445.21, 4.81
 TIC 126316933, 4176.02, 4.69
 TIC 349231360, 3597.77, 4.63
 TIC 404421027, 3487.30, 4.40
 TIC 374312259, 3375.88, 4.78
 TIC 86102436, 3833.58, 4.28
 TIC 434229166, 4120.82, 4.70
 TIC 42786838, 3675.42, 4.59
 TIC 435905785, 3639.29, 4.03
 TIC 366568742, 3777.79, 4.70
 TIC 392169759, 3745.18, 4.77
 TIC 176877482, 3408.51, 4.84
 TIC 49738111, 3675.80, 4.44
 TIC 350543889, 3820.82, 4.58
 TIC 0, 3365.99, 4.46
 TIC 458686988, 3472.50, 4.90
 TIC 203363338, 3613.85, 4.70
 TIC 336956728, 4240.13, 4.56
 TIC 12857711, 3363.22, 4.86
 TIC 117271956, 3585.87, 4.75
 TIC 281708095, 3725.02, 4.82
 TIC 155364466, 3513.01, 4.79
 TIC 155253964, 3434.51, 4.58
 TIC 306606153, 4236.10, 4.62
 TIC 307016006, 3403.54, 4.82
 TIC 437897391, 3488.26, 4.69
 TIC 438101531, 3510.11, 4.77
 TIC 438400734, 3385.77, 4.41
 TIC 438105556, 3741.79, 4.30
 TIC 399731375, 3208.11, 4.83
 TIC 38131636, 4242.28, 4.68
 TIC 161903627, 3442.46, 4.69
 TIC 335010918, 3559.69, 4.74
 TIC 405680146, 3569.21, 4.79
 TIC 245820491, 3654.00, 4.71
 TIC 199411162, 3768.37, 4.71
 TIC 49689786, 3656.81, 4.55
 TIC 126314278, 3794.51, 4.61
 TIC 191791820, 4000.82, 4.71
 TIC 392036973, 4132.98, 4.36
 TIC 49733483, 4206.64, 4.68
 TIC 269505000, 4225.83, 4.65
 TIC 81030520, 3541.65, 4.63
 TIC 245829590, 3651.56, 4.73
 TIC 53207513, 3961.35, 4.65
 TIC 277915234, 3797.96, 4.65
 TIC 294318498, 3592.94, 4.65
 TIC 9726690, 4199.43, 4.65
 TIC 269506788, 3954.96, 4.71
 TIC 323014169, 3814.64, 4.84
 TIC 248391382, 3604.88, 4.26
 TIC 293893773, 4242.79, 4.50
 TIC 422323918, 4128.42, 4.68
 TIC 436678819, 3555.13, 4.74
 TIC 53210037, 4197.09, 4.51
 TIC 277895144, 3703.77, 4.72
 TIC 85979032, 3533.54, 4.76
 TIC 9707682, 3996.25, 4.68
 TIC 392036267, 3820.37, 4.67
 TIC 9004213, 3635.30, 4.76
 TIC 9700097, 4215.02, 4.63
 TIC 303593764, 4230.30, 4.37
 TIC 374296249, 4198.43, 4.64
 TIC 23201641, 3791.11, 4.53
 TIC 374296497, 4014.39, 4.70
 TIC 176937951, 4026.16, 4.43
 TIC 284993549, 3733.51, 4.52
 TIC 66779178, 3514.19, 4.41
 TIC 117254420, 4186.32, 4.66
 TIC 423608880, 3705.21, 4.61
 TIC 411691831, 3708.09, 4.43
 TIC 243242909, 3317.76, 4.86
 TIC 396847247, 3922.02, 4.76
 TIC 380198906, 3694.29, 4.70
 TIC 245829616, 4118.94, 4.69
 TIC 111015544, 4080.82, 4.67
 TIC 436579383, 3520.95, 4.57
 TIC 357413219, 3834.21, 4.66
 TIC 436724389, 3476.17, 4.76
 TIC 173145711, 3879.23, 4.64
 TIC 49733378, 3343.43, 4.91
 TIC 248349111, 4021.41, 4.64
 TIC 49733520, 3755.42, 4.70
 TIC 374270831, 4000.04, 4.65
 TIC 392037666, 4240.63, 4.50
 TIC 399702563, 3583.41, 4.68
 TIC 277914275, 3780.08, 4.70
 TIC 81986420, 3686.34, 4.70
 TIC 248389194, 3920.64, 4.62
 TIC 176877724, 4235.08, 4.38
 TIC 147745527, 3721.89, 4.57
 TIC 49426898, 3582.36, 4.13
 TIC 422328010, 4242.15, 4.68
 TIC 86106284, 3282.98, 4.45
 TIC 459055931, 3573.80, 4.80
 TIC 355125744, 4079.25, 4.65
 TIC 240812235, 4189.45, 4.66
 TIC 9666322, 3875.23, 4.52
 TIC 23761413, 3480.52, 4.74
 TIC 192500265, 3626.97, 4.60
 TIC 8938403, 3702.86, 4.33
 TIC 374312588, 3416.00, 4.84
 TIC 173109274, 4231.05, 4.65
 TIC 308182983, 4199.75, 4.57
 TIC 277767527, 4109.43, 4.63
 TIC 366354754, 4058.41, 4.66
 TIC 9707591, 4096.37, 4.66
 TIC 245873107, 4241.96, 4.13
 TIC 323022327, 3741.01, 4.77
 TIC 47380303, 3556.29, 4.87
 TIC 145962434, 3652.79, 4.84
 TIC 98581285, 3509.79, 4.53
 TIC 203386574, 3763.77, 4.72
 TIC 183650578, 3482.73, 4.66
 TIC 303596334, 3522.68, 4.76
 TIC 8963806, 3731.00, 4.78
 TIC 281724216, 3571.15, 4.65
 TIC 82052338, 3680.64, 4.72
 TIC 391994722, 3677.39, 4.41
 TIC 323014874, 3688.07, 4.85
 TIC 117166158, 3545.38, 4.77
 TIC 243245838, 3592.25, 4.35
 TIC 357493017, 3768.45, 4.70
 TIC 459055733, 3496.34, 4.93
 TIC 437026604, 2860.44, 4.64
 TIC 117296290, 4112.77, 4.64
 TIC 59129609, 3321.10, 4.87
 TIC 366568378, 3416.24, 4.86
 TIC 2528210, 3595.09, 4.84
 TIC 173104446, 3970.56, 4.27
 TIC 38064383, 3951.96, 4.63
 TIC 281708055, 3381.95, 4.84
 TIC 9097859, 4071.82, 4.57
 TIC 311365750, 3773.15, 4.68
 TIC 152822336, 4001.30, 4.65
 TIC 437697980, 4164.60, 4.58
 TIC 411697916, 3979.83, 4.76
 TIC 380943132, 3756.90, 4.73
 TIC 185467495, 3357.66, 4.98
 TIC 443583042, 3724.56, 4.53
 TIC 12784778, 3312.35, 4.74
 TIC 176868970, 3661.20, 4.57
 TIC 443588692, 3381.16, 4.93
 TIC 437030402, 3682.09, 4.63
 TIC 422290197, 3491.41, 4.77
 TIC 423610856, 3566.17, 4.81
 TIC 85911026, 3539.18, 4.07
 TIC 8919377, 3555.05, 4.44
 TIC 38144331, 4112.34, 4.65
 TIC 49646654, 3903.17, 4.49
 TIC 48537780, 3818.22, 4.64
 TIC 245947178, 3483.60, 4.52
 TIC 386883735, 4157.63, 4.29
 TIC 293837403, 3431.51, 4.23
 TIC 175940476, 3774.95, 4.73
 TIC 38159702, 3554.88, 4.76
 TIC 98591319, 3556.51, 4.70
 TIC 38143522, 3372.92, 4.72
 TIC 411692020, 4192.66, 4.65
 TIC 98674306, 3813.26, 4.72
 TIC 8990696, 3549.50, 4.64
 TIC 49419321, 4149.74, 4.66
 TIC 399670831, 3714.75, 4.68
 TIC 98676919, 4221.53, 4.66
 TIC 387612453, 4197.03, 4.65
 TIC 307016557, 3679.31, 4.71
 TIC 307583161, 4190.38, 4.66
 TIC 386883893, 3612.41, 4.75
 TIC 284993744, 4037.53, 4.67
 TIC 98593273, 3762.78, 4.69
 TIC 173163505, 4012.66, 4.66
 TIC 277895018, 4126.22, 4.68
 TIC 205522759, 3815.61, 4.63
 TIC 311128775, 3512.13, 4.21
 TIC 9707662, 3489.51, 4.75
 TIC 366484881, 3986.00, 4.38
 TIC 98629299, 3474.27, 4.56
 TIC 436658778, 4100.86, 4.40
 TIC 169725692, 3521.73, 4.92
 TIC 369481446, 3474.44, 4.58
 TIC 357494433, 3612.05, 4.71
 TIC 293612763, 4231.32, 4.41
 TIC 98668268, 4187.24, 4.67
 TIC 23790755, 4213.39, 4.56
 TIC 245908265, 3726.43, 4.40
 TIC 126319357, 4235.55, 4.45
 TIC 323181121, 3697.33, 4.48
 TIC 188543818, 3744.96, 4.62
 TIC 366409776, 3763.93, 4.56
 TIC 443996160, 3572.26, 4.87
 TIC 434237610, 4150.18, 4.65
 TIC 204790178, 3478.52, 4.53
 TIC 435918916, 3314.74, 4.91
 TIC 157858004, 3682.22, 4.42
 TIC 443616664, 4206.59, 4.66
 TIC 66769023, 3489.35, 4.63
 TIC 49735955, 4051.05, 4.65
 TIC 436666554, 3611.93, 4.02
 TIC 357493637, 4213.76, 4.67
 TIC 269571851, 3818.83, 4.67
 TIC 245826013, 4061.64, 4.35
 TIC 311365889, 3406.90, 4.89
 TIC 366631770, 4170.34, 4.52
 TIC 404434551, 4130.99, 4.50
 TIC 436636303, 3873.53, 4.69
 TIC 186067504, 3860.51, 4.71
 TIC 60285319, 3606.40, 4.76
 TIC 8989790, 3739.47, 4.84
 TIC 369839741, 3596.89, 4.52
 TIC 98719022, 4115.72, 4.68
 TIC 281660428, 3710.98, 4.75
 TIC 152719683, 3651.81, 4.75
 TIC 434101759, 3993.72, 4.67
 TIC 49710676, 3656.00, 4.78
 TIC 152830035, 3823.02, 4.49
 TIC 396847256, 3889.39, 4.53
 TIC 183650560, 4130.41, 4.70
 TIC 161006052, 3424.75, 4.98
 TIC 98593271, 3592.47, 4.60
 TIC 98732729, 3613.99, 4.86
 TIC 248343099, 3394.30, 4.87
 TIC 9726746, 4248.76, 4.56
 TIC 434239032, 3665.89, 4.74
 TIC 203289480, 3689.64, 4.60
 TIC 248348808, 3480.94, 4.58
 TIC 423612065, 3509.86, 4.50
 TIC 9063199, 3714.59, 4.68
 TIC 27654167, 3284.31, 4.93
 TIC 152868661, 3598.94, 4.20
 TIC 66734350, 3741.63, 4.57
 TIC 27630130, 3969.75, 4.37
 TIC 366569064, 3847.30, 4.47
 TIC 399735570, 4132.32, 4.67
 TIC 9003074, 3604.30, 4.78
 TIC 405675906, 2873.09, 4.88
 TIC 77651032, 3331.80, 4.86
 TIC 8919002, 3661.21, 4.43
 TIC 436674569, 3439.99, 4.95
 TIC 344299604, 3807.18, 4.70
 TIC 9698942, 3716.05, 4.61
 TIC 186695607, 3360.44, 4.97
 TIC 98581274, 4036.24, 4.71
 TIC 277736289, 3626.74, 4.79
 TIC 47380373, 3628.55, 4.76
 TIC 286362117, 4063.11, 4.52
 TIC 434097202, 3619.26, 4.85
 TIC 9053032, 3605.14, 4.35
 TIC 23375066, 3564.29, 4.59
 TIC 138687488, 4148.87, 4.48
 TIC 126237249, 3239.92, 4.94
 TIC 81986181, 3539.01, 4.59
 TIC 468989139, 3473.85, 4.87
 TIC 293696102, 3842.44, 4.77
 TIC 8990123, 3505.29, 4.79
 TIC 350565184, 3692.56, 4.21
 TIC 5741395, 3577.24, 4.87
 TIC 86103265, 3454.68, 4.58
 TIC 293769107, 3637.11, 4.73
 TIC 98594233, 3781.21, 4.80
 TIC 290055623, 2810.11, 4.77
 TIC 98677093, 4183.32, 4.51
 TIC 345061449, 4074.35, 4.51
 TIC 248387269, 3310.30, 4.94
 TIC 291066966, 3520.06, 4.83
 TIC 157839375, 3657.44, 4.79
 TIC 9633446, 3487.20, 4.46
 TIC 277833795, 3488.76, 4.76
 TIC 345072935, 3424.44, 4.80
 TIC 414967238, 3685.17, 4.55
 TIC 368438609, 3428.02, 4.89
 TIC 277914342, 4249.36, 4.41
 TIC 9698907, 3662.22, 4.68
 TIC 436674646, 3577.02, 4.81
 TIC 168688631, 3572.45, 4.70
 TIC 293613369, 3319.43, 4.92
 TIC 293945272, 3526.42, 4.57
 TIC 9062172, 3602.19, 4.87
 TIC 117353903, 4113.81, 4.47
 TIC 8996113, 3475.90, 4.52
 TIC 411697800, 3409.26, 4.53
 TIC 185851639, 3691.74, 4.67
 TIC 61121028, 3288.09, 4.86
 TIC 98582648, 3749.24, 4.74
 TIC 332109541, 3320.08, 4.86
 TIC 82055104, 3289.73, 4.87
 TIC 21273608, 3402.19, 4.47
 TIC 98594401, 3426.41, 4.11
 TIC 176910272, 3426.34, 4.88
 TIC 286830497, 3723.63, 4.61
 TIC 411757242, 3386.78, 4.50
 TIC 277894867, 3477.98, 4.83
 TIC 436590160, 3639.87, 4.32
 TIC 366622715, 4175.20, 4.57
 TIC 436584579, 3567.24, 4.60
 TIC 436573120, 4163.55, 4.54
 TIC 126321903, 3380.48, 4.89
 TIC 12784558, 3414.08, 4.82
 TIC 197242818, 3465.68, 4.85
 TIC 49677459, 3728.25, 4.21
 TIC 293944999, 3693.75, 4.74
 TIC 38160985, 3621.93, 4.78
 TIC 238608560, 3548.21, 4.82
 TIC 443996229, 3552.44, 4.79
 TIC 374270753, 3468.02, 4.26
 TIC 311150993, 4246.25, 4.58
 TIC 436583646, 3363.05, 4.91
 TIC 242964454, 3898.76, 4.70
 TIC 281726314, 3551.29, 4.71
 TIC 438068130, 3845.46, 4.72
 TIC 307475217, 3482.19, 4.72
 TIC 438226033, 3861.57, 4.40
 TIC 337258475, 3408.76, 4.89
 TIC 294361950, 3790.62, 4.68
 TIC 294223375, 4002.23, 4.70
 TIC 306813918, 4221.62, 4.53
 TIC 438400422, 3413.84, 4.83
 TIC 306607547, 3678.69, 4.65
 TIC 308483188, 3518.56, 4.78
 TIC 337608130, 3551.04, 4.86
 TIC 176941323, 3660.04, 4.49
 TIC 49554473, 3778.50, 4.73
 TIC 126321945, 3481.77, 4.83
 TIC 98670400, 3509.28, 4.74
 TIC 176878881, 3964.53, 4.69
 TIC 49711073, 3563.05, 4.45
 TIC 366658144, 3503.47, 4.81
 TIC 98662871, 3560.55, 4.65
 TIC 423608838, 4211.03, 4.58
 TIC 245873264, 3780.78, 4.69
 TIC 49710705, 3673.91, 4.78
 TIC 159126169, 4139.92, 4.66
 TIC 32146313, 3483.34, 4.43
 TIC 0, 3364.17, 4.65
 TIC 248351623, 4224.10, 4.64
 TIC 152868604, 3471.78, 4.58
 TIC 242961457, 3757.05, 4.67
 TIC 389167233, 3784.29, 4.71
 TIC 389167236, 3536.11, 4.75
 TIC 291066965, 3697.13, 4.81
 TIC 399735147, 4056.94, 4.40
 TIC 423608879, 3613.30, 4.75
 TIC 152830089, 4201.48, 4.49
 TIC 366484635, 3825.53, 4.69
 TIC 444001056, 3374.29, 4.99
 TIC 380195411, 4171.75, 4.66
 TIC 49733572, 3593.75, 4.64
 TIC 369493344, 4144.86, 4.66
 TIC 399733621, 3520.51, 4.76
 TIC 437039859, 3825.18, 4.65
 TIC 126319640, 3599.99, 4.14
 TIC 293769342, 3846.97, 4.19
 TIC 49417036, 3827.34, 4.39
 TIC 392103664, 3655.67, 4.76
 TIC 402313680, 3536.71, 4.81
 TIC 49464686, 3705.65, 4.80
 TIC 436576179, 3432.69, 4.65
 TIC 281726503, 4247.55, 4.56
 TIC 98732577, 3486.39, 4.95
 TIC 366410896, 3866.97, 4.66
 TIC 60255814, 3530.19, 4.71
 TIC 9097938, 3445.05, 4.58
 TIC 4579851, 3900.48, 4.62
 TIC 146579308, 3752.73, 4.73
 TIC 205371056, 3531.19, 4.67
 TIC 380672506, 3473.79, 4.57
 TIC 411749223, 4223.83, 4.62
 TIC 9003346, 3716.45, 4.68
 TIC 293945370, 3311.80, 4.92
 TIC 2211282, 3587.25, 4.74
 TIC 138708802, 4159.45, 4.69
 TIC 293765840, 3504.85, 4.86
 TIC 374314800, 3555.70, 4.61
 TIC 380907521, 3483.83, 4.80
 TIC 186472310, 3490.57, 4.32
 TIC 8962304, 3771.69, 4.76
 TIC 344771774, 3669.12, 4.75
 TIC 176941774, 3614.45, 4.79
 TIC 9070252, 3579.85, 4.78
 TIC 176910227, 3954.63, 4.64
 TIC 458677152, 3343.35, 4.93
 TIC 203282518, 3578.87, 4.84
 TIC 8994764, 3551.77, 4.74
 TIC 292261441, 3422.31, 4.57
 TIC 388977865, 3322.33, 4.95
 TIC 199350956, 3472.78, 4.67
 TIC 293470507, 3541.89, 4.76
 TIC 117162729, 3619.29, 4.33
 TIC 396846797, 4244.36, 4.55
 TIC 293889457, 3409.86, 4.85
 TIC 366623229, 3791.58, 4.75
 TIC 86851558, 4099.73, 4.68
 TIC 27679154, 4160.80, 4.38
 TIC 117279350, 4192.55, 4.53
 TIC 98582875, 3691.63, 4.39
 TIC 38085733, 3464.84, 4.56
 TIC 183650441, 4236.79, 4.68
 TIC 183651944, 4200.40, 4.46
 TIC 192461440, 3374.35, 4.93
 TIC 374239353, 3837.42, 4.70
 TIC 186853440, 3331.88, 4.90
 TIC 49523298, 3872.62, 4.47
 TIC 117162504, 4164.32, 4.55
 TIC 347754824, 3276.88, 4.89
 TIC 98724378, 3561.85, 4.70
 TIC 374338031, 3136.94, 4.94
 TIC 269531058, 4117.53, 4.55
 TIC 374224758, 3477.88, 4.59
 TIC 114959349, 4110.67, 4.65
 TIC 130725440, 3790.79, 4.50
 TIC 380907410, 3386.57, 4.95
 TIC 248389380, 3818.68, 4.58
 TIC 79723864, 3502.31, 4.77
 TIC 8990172, 3677.03, 4.72
 TIC 38086772, 3378.36, 4.93
 TIC 197249273, 4235.59, 4.67
 TIC 152853704, 3472.40, 4.84
 TIC 204819382, 3689.09, 4.56
 TIC 399673102, 3435.07, 4.82
 TIC 374238752, 3403.87, 4.80
 TIC 23508466, 3484.66, 4.32
 TIC 38139580, 3783.84, 4.58
 TIC 8988391, 3575.05, 4.73
 TIC 4611033, 3316.19, 4.96
 TIC 173108981, 3795.80, 4.69
 TIC 38205086, 3677.06, 4.58
 TIC 77470601, 3362.13, 4.58
 TIC 366622980, 4124.59, 4.61
 TIC 117353817, 3456.03, 4.84
 TIC 176940288, 3413.51, 4.51
 TIC 168035442, 3485.01, 4.74
 TIC 435332935, 3734.53, 4.66
 TIC 287050009, 3837.21, 4.76
 TIC 402313838, 3849.91, 4.42
 TIC 146801060, 3625.37, 4.69
 TIC 415331755, 3375.91, 4.93
 TIC 443970291, 3902.63, 4.48
 TIC 173097540, 3521.46, 4.72
 TIC 308181123, 3544.48, 4.41
 TIC 49678278, 3704.35, 4.71
 TIC 49546837, 4178.51, 4.52
 TIC 357493602, 3690.39, 4.34
 TIC 176944126, 3420.79, 4.93
 TIC 248351141, 3660.08, 4.75
 TIC 281777539, 3631.59, 4.72
 TIC 396733567, 3524.33, 4.56
 TIC 48538473, 3625.22, 4.40
 TIC 434226226, 4194.99, 4.39
 TIC 277914069, 4232.17, 4.65
 TIC 405679784, 4144.69, 4.29
 TIC 98719548, 3566.35, 4.93
 TIC 293838671, 3412.24, 4.58
 TIC 277893078, 3613.24, 4.56
 TIC 242885551, 4204.00, 4.65
 TIC 444034299, 3555.88, 4.57
 TIC 8919290, 4033.31, 4.69
 TIC 396743086, 3486.35, 4.57
 TIC 434097332, 4174.81, 4.66
 TIC 8990032, 3653.50, 4.27
 TIC 66768073, 4231.60, 4.65
 TIC 98593016, 3503.31, 4.64
 TIC 436579482, 3411.24, 4.88
 TIC 293768389, 3854.46, 4.52
 TIC 345457584, 4192.87, 4.58
 TIC 248353887, 3563.30, 4.73
 TIC 176940515, 3723.30, 4.66
 TIC 293511761, 4228.54, 4.56
 TIC 138687837, 3453.13, 4.87
 TIC 117506821, 3567.67, 4.79
 TIC 443609234, 3453.38, 4.89
 TIC 323015924, 3291.17, 4.88
 TIC 126277741, 4104.45, 4.66
 TIC 344278988, 3473.08, 4.95
 TIC 434101682, 3721.27, 4.76
 TIC 248349274, 3288.77, 4.97
 TIC 240720965, 3633.17, 4.39
 TIC 9666293, 3799.08, 4.46
 TIC 126319584, 4096.50, 4.67
 TIC 9070223, 3498.60, 4.59
 TIC 438106341, 4038.53, 4.66
 TIC 385909209, 4183.93, 4.66
 TIC 307127614, 3593.41, 4.36
 TIC 308170456, 4241.16, 4.45
 TIC 307130567, 3593.18, 4.83
 TIC 366444229, 4014.53, 4.67
 TIC 49733240, 3669.65, 4.70
 TIC 366577193, 3397.85, 4.68
 TIC 9707831, 3984.44, 4.69
 TIC 380195526, 4088.27, 4.67
 TIC 411691898, 3734.26, 4.71
 TIC 311365436, 3791.13, 4.39
 TIC 130713864, 4154.06, 4.38
 TIC 434233124, 3945.58, 4.65
 TIC 411691947, 3444.67, 4.68
 TIC 240812294, 3817.68, 4.20
 TIC 458682013, 4148.08, 4.49
 TIC 423358422, 3662.07, 4.36
 TIC 66715215, 3822.35, 4.65
 TIC 290055799, 4187.39, 4.48
 TIC 12822887, 4242.87, 4.66
 TIC 380674573, 3951.68, 4.66
 TIC 203289525, 3644.14, 4.43
 TIC 8962243, 3590.31, 4.74
 TIC 53210071, 3532.77, 4.75
 TIC 98305663, 3356.01, 4.96
 TIC 152851081, 3595.64, 4.86
 TIC 152830052, 3565.58, 4.72
 TIC 82049731, 4126.08, 4.55
 TIC 269594335, 3565.74, 4.69
 TIC 176938798, 3635.75, 4.55
 TIC 126369390, 3629.48, 4.80
 TIC 62905396, 3805.72, 4.72
 TIC 111015107, 3763.78, 4.60
 TIC 49733563, 3527.31, 4.75
 TIC 82052093, 3536.15, 4.63
 TIC 468988150, 3549.94, 4.30
 TIC 9697843, 3776.86, 4.26
 TIC 126313856, 3458.55, 4.65
 TIC 130726564, 3581.08, 4.46
 TIC 188543925, 3464.42, 4.58
 TIC 248354037, 3969.00, 4.70
 TIC 49689843, 3387.81, 4.93
 TIC 9698750, 3421.67, 4.56
 TIC 240812209, 4186.45, 4.44
 TIC 115083217, 4134.31, 4.66
 TIC 111012734, 3579.36, 4.78
 TIC 152852040, 3441.44, 4.56
 TIC 374350115, 3795.87, 4.69
 TIC 205239179, 3797.87, 4.53
 TIC 176910107, 4091.62, 4.70
 TIC 277798803, 3572.88, 4.78
