TICID,Teff,logg
 TIC 357513885, 3423.39, 4.76
 TIC 422335187, 4235.64, 4.50
 TIC 168148783, 3695.49, 4.71
 TIC 399152135, 4166.92, 4.67
 TIC 308212384, 3930.52, 4.63
 TIC 389052579, 4173.11, 4.27
 TIC 130726366, 3997.90, 4.70
 TIC 311365639, 4089.47, 4.65
 TIC 9697936, 3882.66, 4.66
 TIC 49687126, 3534.51, 4.40
 TIC 307805449, 3705.47, 4.35
 TIC 168152477, 3824.67, 4.70
 TIC 79727868, 3476.20, 4.71
 TIC 130714159, 4121.04, 4.67
 TIC 126319289, 4213.19, 4.67
 TIC 225953216, 4201.33, 4.58
 TIC 293470795, 3433.61, 4.62
 TIC 48481424, 3869.98, 4.63
 TIC 7061049, 3827.64, 4.71
 TIC 168152423, 3672.23, 4.77
 TIC 245869914, 4190.34, 4.66
 TIC 152802543, 4077.15, 4.69
 TIC 176939228, 3921.52, 4.51
 TIC 392101639, 4163.76, 4.67
 TIC 168685417, 3656.43, 4.23
 TIC 66780141, 3974.86, 4.70
 TIC 110996515, 3588.27, 4.80
 TIC 281660002, 3826.51, 4.67
 TIC 357445854, 3609.05, 4.45
 TIC 458685787, 3548.02, 4.42
 TIC 2673117, 3375.92, 4.42
 TIC 168305231, 3514.18, 4.77
 TIC 399722684, 4210.83, 4.66
 TIC 152829072, 3607.45, 4.78
 TIC 422289950, 3410.64, 4.40
 TIC 281660401, 4183.23, 4.68
 TIC 366444703, 3525.99, 4.72
 TIC 168689077, 3726.74, 4.49
 TIC 293838206, 4184.01, 4.42
 TIC 303596329, 4226.61, 4.22
 TIC 98594419, 4054.14, 4.09
 TIC 281705977, 3951.45, 4.72
 TIC 287331740, 3863.06, 4.55
 TIC 443971059, 4112.20, 4.34
 TIC 117162537, 3838.23, 4.43
 TIC 436616166, 3709.15, 4.77
 TIC 115008454, 3359.50, 4.46
 TIC 294301951, 4170.51, 4.56
 TIC 198535645, 4165.56, 4.54
 TIC 357492916, 3679.98, 4.33
 TIC 168438330, 3636.47, 4.63
 TIC 98676149, 3799.80, 4.70
 TIC 422335343, 3990.93, 4.74
 TIC 245820082, 3563.01, 4.75
 TIC 285004644, 3533.58, 4.74
 TIC 437327178, 3799.78, 4.70
 TIC 168444570, 3379.70, 4.86
 TIC 346038051, 4019.49, 4.44
 TIC 98594317, 4136.12, 4.57
 TIC 366437895, 3548.12, 4.83
 TIC 456887882, 4165.16, 4.61
 TIC 436580913, 3795.15, 4.48
 TIC 458656077, 4242.50, 4.69
 TIC 336956845, 3596.29, 4.66
 TIC 438292042, 3699.79, 4.46
 TIC 115011160, 3777.45, 4.68
 TIC 176938833, 4160.83, 4.24
 TIC 98594327, 3645.50, 4.70
 TIC 130725501, 4001.29, 4.72
 TIC 277798951, 3846.60, 4.70
 TIC 176938775, 3515.24, 4.78
 TIC 115011285, 3525.46, 4.68
 TIC 168439939, 3541.31, 4.73
 TIC 23509027, 3748.96, 4.59
 TIC 2532126, 3654.85, 4.79
 TIC 9099012, 3548.60, 4.68
 TIC 290037621, 3704.90, 4.48
 TIC 117419304, 3517.93, 4.18
 TIC 197249205, 4156.45, 4.64
 TIC 243015214, 4135.92, 4.50
 TIC 308181178, 4124.89, 4.68
 TIC 117166224, 4211.00, 4.66
 TIC 38141851, 3747.12, 4.71
 TIC 98674039, 3556.67, 4.74
 TIC 405673100, 4033.24, 4.66
 TIC 168033046, 3796.29, 4.37
 TIC 290055373, 3776.91, 4.57
 TIC 443609287, 3572.99, 4.64
 TIC 168305494, 4205.12, 4.66
 TIC 404420997, 3551.98, 4.73
 TIC 357493222, 4182.11, 4.32
 TIC 374272821, 4014.20, 4.72
 TIC 434239028, 4136.62, 4.67
 TIC 192461080, 4216.85, 4.44
 TIC 176910328, 3755.60, 4.67
 TIC 168438827, 3509.39, 4.23
 TIC 61099118, 3474.28, 4.83
 TIC 38141949, 3402.70, 4.13
 TIC 176938792, 4226.57, 4.22
 TIC 374312254, 4112.01, 4.63
 TIC 399123943, 4123.49, 4.67
 TIC 151513759, 4210.90, 4.52
 TIC 225889510, 3516.51, 4.70
 TIC 422335428, 4223.14, 4.44
 TIC 152827696, 3686.08, 4.34
 TIC 157838189, 3802.56, 4.66
 TIC 168546043, 3732.84, 4.74
 TIC 9003347, 3900.78, 4.65
 TIC 277747956, 3442.85, 4.74
 TIC 49674937, 3827.29, 4.69
 TIC 9005861, 3698.77, 4.74
 TIC 366354428, 4196.37, 4.67
 TIC 287331845, 3663.76, 4.77
 TIC 186695916, 4061.45, 4.44
 TIC 334994926, 3389.15, 4.67
 TIC 345061487, 3511.80, 4.57
 TIC 388801896, 4211.77, 4.69
 TIC 111015006, 4144.61, 4.62
 TIC 294318508, 4249.23, 4.50
 TIC 168152065, 4045.50, 4.67
 TIC 168548101, 4177.17, 4.56
 TIC 293891048, 3609.01, 4.49
 TIC 49557258, 4199.09, 4.55
 TIC 9029987, 3989.59, 4.68
 TIC 115078744, 3576.81, 4.30
 TIC 281724361, 4248.67, 4.64
 TIC 248387232, 3578.69, 4.79
 TIC 175752924, 3718.55, 4.72
 TIC 434131962, 4222.70, 4.38
 TIC 411698363, 3702.53, 4.48
 TIC 436662261, 4228.00, 4.65
 TIC 392320837, 3558.13, 4.00
 TIC 157843141, 4133.09, 4.49
 TIC 188569804, 3726.25, 4.72
 TIC 168149724, 3531.77, 4.83
 TIC 175698545, 3847.51, 4.75
 TIC 168551577, 3601.66, 4.40
 TIC 202610202, 3143.20, 4.51
 TIC 168149054, 3699.95, 4.52
 TIC 98642363, 4196.32, 4.66
 TIC 402313145, 3522.76, 4.68
 TIC 277811053, 4113.56, 4.42
 TIC 458656217, 3801.13, 4.63
 TIC 175590376, 3489.85, 4.40
 TIC 380943250, 3326.08, 4.60
 TIC 38116411, 4243.99, 4.57
 TIC 9726127, 3418.08, 4.41
 TIC 157843445, 3655.64, 4.51
 TIC 38138471, 3889.83, 4.72
 TIC 98641889, 3745.95, 4.64
 TIC 311365860, 3941.07, 4.33
 TIC 399151155, 4056.04, 4.67
 TIC 23379580, 3545.00, 4.85
 TIC 422289979, 3985.33, 4.40
 TIC 38159818, 3860.28, 4.73
 TIC 82049557, 3777.90, 4.67
 TIC 38115548, 4042.91, 4.67
 TIC 98628378, 3317.77, 4.48
 TIC 414967280, 4218.92, 4.42
 TIC 23628986, 3426.27, 4.81
 TIC 459056066, 3529.58, 4.71
 TIC 23201319, 4166.26, 4.70
 TIC 293829711, 3995.54, 4.67
 TIC 277747998, 4249.02, 4.65
 TIC 100024516, 3326.55, 4.69
 TIC 392328780, 3989.29, 4.43
 TIC 138709065, 3649.19, 4.48
 TIC 86105459, 3800.09, 4.71
 TIC 114958688, 3650.09, 4.20
 TIC 98673987, 3647.82, 4.23
 TIC 411692039, 3712.69, 4.73
 TIC 175754069, 4235.04, 4.52
 TIC 98641827, 3653.47, 4.73
 TIC 392320717, 4156.65, 4.66
 TIC 9004275, 3708.26, 4.75
 TIC 49429273, 3535.32, 4.76
 TIC 61098324, 4082.16, 4.54
 TIC 242991084, 3620.39, 4.74
 TIC 8990215, 3534.15, 4.79
 TIC 293637271, 3647.12, 4.78
 TIC 307017925, 3544.60, 4.36
 TIC 438228719, 3791.43, 4.70
 TIC 49462605, 4219.28, 4.64
 TIC 423612144, 4124.98, 4.69
 TIC 291090207, 3468.14, 4.58
 TIC 277876832, 4200.69, 4.69
 TIC 185467487, 3527.70, 4.63
 TIC 66765475, 3530.15, 4.57
 TIC 135882303, 3845.63, 4.63
 TIC 411839194, 3857.65, 4.32
 TIC 117275128, 4043.60, 4.71
 TIC 294302148, 4216.37, 4.59
 TIC 293609128, 4118.80, 4.67
 TIC 173089995, 4199.88, 4.68
 TIC 49711020, 4198.52, 4.65
 TIC 53190651, 3483.74, 4.87
 TIC 458655020, 4218.83, 4.48
 TIC 53207396, 4232.56, 4.20
 TIC 380672552, 3361.90, 4.83
 TIC 800381314, 4084.82, 4.67
 TIC 66779431, 3728.23, 4.28
 TIC 49426931, 3773.98, 4.68
 TIC 347810978, 4115.09, 4.68
 TIC 49785615, 4100.29, 4.64
 TIC 323014543, 3849.05, 4.64
 TIC 157836622, 3820.64, 4.69
 TIC 436639951, 3681.53, 4.80
 TIC 437335810, 3766.91, 4.64
 TIC 293612828, 3713.53, 4.78
 TIC 85910885, 3881.30, 4.28
 TIC 357413643, 3581.56, 4.73
 TIC 115010523, 3947.84, 4.59
 TIC 436732040, 3566.81, 4.85
 TIC 168154332, 3325.46, 4.42
 TIC 366526884, 3538.30, 4.78
 TIC 173109431, 4200.12, 4.40
 TIC 152852233, 4069.57, 4.66
 TIC 285005031, 3378.57, 4.67
 TIC 61098280, 3375.04, 4.41
 TIC 176940584, 3552.94, 4.65
 TIC 277798409, 3845.04, 4.72
 TIC 9726881, 3574.07, 4.10
 TIC 293696773, 3581.16, 4.75
 TIC 277877066, 3428.50, 4.65
 TIC 366623243, 3715.57, 4.50
 TIC 225797920, 3740.11, 4.67
 TIC 443583038, 3968.75, 4.70
 TIC 392322580, 4014.36, 4.68
 TIC 111012290, 3387.91, 4.09
 TIC 277870732, 4099.90, 4.69
 TIC 157838165, 4124.26, 4.67
 TIC 434260571, 4137.26, 4.65
 TIC 335010512, 3388.35, 4.64
 TIC 66751241, 3820.85, 4.71
 TIC 380886536, 4091.40, 4.67
 TIC 7024797, 3675.39, 4.62
 TIC 201342492, 3659.52, 4.67
 TIC 49529535, 4067.44, 4.68
 TIC 168302911, 3434.12, 4.79
 TIC 392456037, 4098.58, 4.64
 TIC 61099199, 4200.62, 4.65
 TIC 392103497, 3606.23, 4.82
 TIC 389121244, 4200.47, 4.62
 TIC 173103957, 3422.39, 4.81
 TIC 270419347, 3537.60, 4.66
 TIC 392101721, 4028.59, 4.48
 TIC 445956101, 3925.75, 4.66
 TIC 323014268, 3716.95, 4.71
 TIC 287050176, 4188.13, 4.62
 TIC 405676848, 3753.15, 4.35
 TIC 145750674, 3875.84, 4.69
 TIC 392038313, 4137.60, 4.67
 TIC 23201308, 4201.66, 4.40
 TIC 366658156, 4144.78, 4.67
 TIC 201993945, 4243.68, 4.61
 TIC 409119470, 4151.65, 4.65
 TIC 168034023, 3793.11, 4.73
 TIC 173163869, 4001.61, 4.71
 TIC 20419367, 4200.13, 4.66
 TIC 23379774, 3756.16, 4.34
 TIC 98731915, 3559.14, 4.75
 TIC 203363313, 3425.02, 4.43
 TIC 436572862, 3538.25, 4.65
 TIC 138660517, 4232.09, 4.55
 TIC 399151893, 4198.52, 4.68
 TIC 49735747, 4047.03, 4.64
 TIC 468989066, 4189.74, 4.46
 TIC 303593505, 4191.42, 4.68
 TIC 157844339, 3514.82, 4.19
 TIC 435920675, 3702.27, 4.85
 TIC 281746756, 3852.52, 4.78
 TIC 152868531, 3611.74, 4.51
 TIC 374312308, 3915.78, 4.50
 TIC 98593237, 4114.80, 4.66
 TIC 345035871, 3438.27, 4.86
 TIC 287331800, 4211.68, 4.56
 TIC 335011053, 4152.00, 4.65
 TIC 293609214, 3518.18, 4.79
 TIC 152827882, 3781.17, 4.61
 TIC 458682444, 4239.53, 4.50
 TIC 374209204, 3483.81, 4.41
 TIC 117166354, 3358.25, 4.48
 TIC 9065209, 3735.11, 4.40
 TIC 38144239, 3554.39, 4.77
 TIC 0, 4220.08, 4.42
 TIC 86118510, 3609.09, 4.38
 TIC 130715042, 3431.11, 4.91
 TIC 175938711, 4075.49, 4.66
 TIC 152995809, 3562.76, 4.47
 TIC 411779955, 4086.94, 4.13
 TIC 392330506, 3644.82, 4.21
 TIC 277769960, 3375.07, 4.40
 TIC 405673084, 3875.62, 4.57
 TIC 243245623, 3605.36, 4.23
 TIC 392458136, 3712.68, 4.71
 TIC 114959473, 4207.66, 4.38
 TIC 126369329, 3381.41, 4.70
 TIC 197221241, 4182.24, 4.66
 TIC 436636486, 4140.36, 4.66
 TIC 366577167, 3776.73, 4.72
 TIC 248378867, 3547.26, 4.45
 TIC 147816250, 3887.87, 4.70
 TIC 203286301, 3794.97, 4.68
 TIC 49604500, 4180.85, 4.47
 TIC 389121705, 4193.14, 4.67
 TIC 374296575, 4112.40, 4.63
 TIC 117272115, 4210.52, 4.55
 TIC 269486136, 3437.20, 4.36
 TIC 68567242, 3493.35, 4.41
 TIC 277895057, 3987.44, 4.49
 TIC 286942849, 3606.16, 4.75
 TIC 49531837, 4130.03, 4.64
 TIC 277870780, 4187.58, 4.60
 TIC 437038686, 4220.50, 4.62
 TIC 281726283, 3549.85, 4.55
 TIC 49426765, 3464.61, 4.76
 TIC 411696941, 3464.63, 4.77
 TIC 114985481, 3475.90, 4.41
 TIC 277769948, 4240.70, 4.55
 TIC 175754458, 4182.34, 4.65
 TIC 443965178, 3847.34, 4.54
 TIC 277834002, 3914.00, 4.67
 TIC 435913873, 3395.70, 4.40
 TIC 245823285, 4000.06, 4.53
 TIC 198527447, 3960.99, 4.64
 TIC 357616914, 4225.96, 4.72
 TIC 200678649, 3631.83, 4.65
 TIC 438402150, 3356.80, 4.77
 TIC 437901297, 4098.19, 4.42
 TIC 155454909, 4047.16, 4.76
 TIC 438306662, 3777.49, 4.78
 TIC 337608171, 3429.83, 4.41
 TIC 117358103, 4236.77, 4.67
 TIC 287331650, 3690.70, 4.75
 TIC 157836827, 3955.89, 4.59
 TIC 281655537, 4244.79, 4.48
 TIC 287331799, 3909.47, 4.68
 TIC 286942575, 3593.65, 4.74
 TIC 436647823, 3515.07, 4.55
 TIC 168550367, 3877.95, 4.64
 TIC 328009706, 3646.72, 4.52
 TIC 2672012, 3699.20, 4.71
 TIC 422335830, 4122.63, 4.66
 TIC 436573973, 3453.33, 4.65
 TIC 117358100, 4024.05, 4.68
 TIC 157839282, 3665.83, 4.34
 TIC 380674544, 3944.89, 4.68
 TIC 243010858, 4164.59, 4.66
 TIC 357446103, 3405.82, 4.72
 TIC 98593447, 4137.87, 4.58
 TIC 437026655, 3758.05, 4.72
 TIC 225802247, 3648.85, 4.74
 TIC 437035552, 3857.02, 4.63
 TIC 436666669, 3613.20, 4.61
 TIC 186690659, 4087.45, 4.67
 TIC 12858118, 3479.58, 4.20
 TIC 468989077, 4138.28, 4.35
 TIC 200032877, 4211.00, 4.55
 TIC 374296554, 3779.12, 4.61
 TIC 8938883, 3337.75, 4.58
 TIC 175750901, 3410.23, 4.42
 TIC 85979311, 3608.07, 4.63
 TIC 225884832, 4149.76, 4.68
 TIC 294301689, 4050.04, 4.65
 TIC 49464551, 3661.63, 4.72
 TIC 126240080, 3538.51, 4.75
 TIC 98731001, 3494.80, 4.80
 TIC 366567993, 3467.24, 4.59
 TIC 157836734, 3691.59, 4.08
 TIC 115079665, 3715.89, 4.72
 TIC 374239489, 4207.68, 4.63
 TIC 130713848, 4027.59, 4.70
 TIC 176941703, 3513.95, 4.77
 TIC 185856409, 3588.42, 4.77
 TIC 277711783, 4051.48, 4.66
 TIC 335103607, 4162.31, 4.19
 TIC 380195373, 3771.46, 4.59
 TIC 374272704, 4201.90, 4.67
 TIC 175636826, 4000.55, 4.59
 TIC 443965404, 4210.26, 4.41
 TIC 345074529, 4130.75, 4.45
 TIC 366576289, 3536.02, 4.67
 TIC 366355381, 3620.50, 4.24
 TIC 437335758, 4142.27, 4.52
 TIC 270419146, 3847.85, 4.64
 TIC 422335495, 4205.24, 4.65
 TIC 49735767, 3658.75, 4.40
 TIC 458685938, 4170.59, 4.53
 TIC 380674551, 4242.25, 4.47
 TIC 27636692, 3556.49, 4.67
 TIC 290055374, 3877.52, 4.63
 TIC 335011033, 3530.04, 4.74
 TIC 277870693, 3587.95, 4.75
 TIC 38116481, 3688.97, 4.71
 TIC 68500300, 3986.21, 4.68
 TIC 436636902, 4217.07, 4.54
 TIC 117506452, 3642.74, 4.71
 TIC 98642180, 4092.62, 4.64
 TIC 422335560, 3571.53, 4.69
 TIC 38132684, 3745.97, 4.72
 TIC 392321506, 4101.41, 4.54
 TIC 425465505, 3695.76, 4.48
 TIC 168686211, 3515.14, 4.43
 TIC 332109115, 3607.78, 4.68
 TIC 8918789, 3976.89, 4.60
 TIC 12720956, 4121.62, 4.62
 TIC 414944017, 4193.80, 4.56
 TIC 49522911, 3680.36, 4.85
 TIC 248377503, 4212.30, 4.33
 TIC 458655184, 3567.32, 4.64
 TIC 366485342, 4189.72, 4.65
 TIC 27650485, 3482.88, 4.84
 TIC 9709268, 3502.57, 4.13
 TIC 281726323, 4201.71, 4.53
 TIC 175831800, 3818.09, 4.49
 TIC 435923506, 4007.06, 4.69
 TIC 111012373, 3261.11, 4.46
 TIC 130691782, 3540.19, 4.77
 TIC 173102252, 3313.78, 4.45
 TIC 374273463, 3563.25, 4.65
 TIC 243010641, 4243.92, 4.47
 TIC 173102277, 3719.29, 4.49
 TIC 392170607, 3599.09, 4.22
 TIC 66923180, 4033.94, 4.39
 TIC 458682259, 3516.65, 4.26
 TIC 8988177, 3675.46, 4.71
 TIC 245820054, 3910.15, 4.60
 TIC 437030360, 3999.07, 4.69
 TIC 7024744, 3516.37, 4.57
 TIC 335103856, 3823.27, 4.62
 TIC 8988199, 3486.11, 4.77
 TIC 437038864, 3628.27, 4.77
 TIC 44476807, 3838.85, 4.65
 TIC 242985004, 3625.08, 4.16
 TIC 444009797, 3790.88, 4.71
 TIC 9054080, 4185.77, 4.63
 TIC 225802354, 4199.86, 4.59
 TIC 173097336, 3461.90, 4.41
 TIC 38114155, 3313.46, 4.93
 TIC 9700025, 4141.48, 4.68
 TIC 130714127, 4057.24, 4.67
 TIC 175588676, 3614.95, 4.61
 TIC 23202332, 3531.38, 4.89
 TIC 9003224, 3952.08, 4.63
 TIC 437031083, 3488.64, 4.86
 TIC 411697798, 3996.72, 4.65
 TIC 245799420, 3580.00, 4.80
 TIC 202619681, 4217.31, 4.64
 TIC 117509025, 3458.23, 4.85
 TIC 386622134, 3457.69, 4.57
 TIC 117380455, 3595.54, 4.53
 TIC 176877766, 3826.84, 4.73
 TIC 9665497, 4087.10, 4.39
 TIC 388995139, 4150.46, 4.68
 TIC 438337653, 3609.69, 4.75
 TIC 458677162, 3761.56, 4.31
 TIC 48559268, 3462.90, 4.83
 TIC 294301774, 3513.18, 4.64
 TIC 366355496, 4015.85, 4.70
 TIC 0, 4212.95, 4.63
 TIC 290055890, 3573.54, 4.60
 TIC 374350271, 4060.97, 4.70
 TIC 185854309, 4076.20, 4.63
 TIC 432613930, 3481.96, 4.76
 TIC 443970873, 3715.27, 4.66
 TIC 366623130, 3648.52, 4.55
 TIC 328009688, 3473.40, 4.92
 TIC 23375009, 3516.93, 4.51
 TIC 173145881, 3528.53, 4.71
 TIC 126237385, 4162.15, 4.67
 TIC 366631586, 3632.44, 4.14
 TIC 85911020, 4243.97, 4.66
 TIC 411757348, 3812.63, 4.46
 TIC 437034479, 4089.60, 4.62
 TIC 152868884, 3851.96, 4.75
 TIC 366399964, 3466.72, 4.00
 TIC 48482012, 3708.39, 4.56
 TIC 117508967, 3773.61, 4.63
 TIC 386892927, 3421.77, 4.89
 TIC 49504699, 3502.68, 4.73
 TIC 357513273, 3511.41, 4.74
 TIC 436724056, 4157.81, 4.65
 TIC 49426984, 4195.93, 4.53
 TIC 243015707, 3753.20, 4.78
 TIC 117354299, 3684.08, 4.69
 TIC 176940451, 3704.33, 4.68
 TIC 220162556, 4141.05, 4.32
 TIC 345454393, 3637.52, 4.50
 TIC 423611868, 3335.05, 4.74
 TIC 277840115, 4236.50, 4.60
 TIC 374270448, 3650.25, 4.23
 TIC 443970782, 3755.70, 4.80
 TIC 32180832, 3558.59, 4.41
 TIC 110999175, 4099.88, 4.67
 TIC 411748899, 3725.55, 4.62
 TIC 110996591, 3702.06, 4.51
 TIC 443996607, 3586.23, 4.80
 TIC 117296105, 3719.26, 4.62
 TIC 98664529, 3695.62, 4.70
 TIC 85913917, 4153.27, 4.59
 TIC 392457393, 3713.89, 4.07
 TIC 386892968, 3689.33, 4.83
 TIC 374271151, 3476.81, 4.80
 TIC 130692036, 3513.37, 4.53
 TIC 147745755, 4105.47, 4.64
 TIC 173097561, 3979.72, 4.61
 TIC 61099144, 3805.10, 4.62
 TIC 157839046, 3640.68, 4.45
 TIC 38143314, 3600.09, 4.74
 TIC 290055501, 4175.45, 4.66
 TIC 423609056, 3715.66, 4.63
 TIC 437031242, 3871.38, 4.39
 TIC 396847258, 3635.06, 4.58
 TIC 152851019, 4238.22, 4.34
 TIC 175938704, 3999.74, 4.73
 TIC 27650406, 3470.72, 4.86
 TIC 422326934, 3551.04, 4.66
 TIC 333640942, 4182.69, 4.63
 TIC 158259934, 3526.18, 4.89
 TIC 9698738, 3649.11, 4.66
 TIC 335040253, 3642.54, 4.13
 TIC 374180046, 3687.06, 4.68
 TIC 38116208, 4091.40, 4.66
 TIC 291066952, 3743.08, 4.77
 TIC 175636637, 4199.31, 4.57
 TIC 9031722, 3467.09, 4.73
 TIC 422335828, 3849.61, 4.59
 TIC 176878982, 3686.26, 4.63
 TIC 47350472, 3448.97, 4.66
 TIC 86131445, 3924.13, 4.58
 TIC 38138470, 3563.41, 4.72
 TIC 200038990, 4210.86, 4.67
 TIC 422350573, 3825.96, 4.47
 TIC 175751044, 3576.94, 4.76
 TIC 38115547, 4201.98, 4.69
 TIC 366528936, 3799.37, 4.64
 TIC 245869959, 3683.06, 4.81
 TIC 173108930, 3264.71, 4.77
 TIC 98674054, 3503.64, 4.59
 TIC 130711940, 4087.75, 4.50
