TIC ID,Teff,logg,Flare #,Observation time,Average flare duration,Longest flare duration,Shortest flare duration,Average percentage increase,Highest percentage increase,Lowest percentage increase,Flares per hour,Flares per day,RA,Dec
130713848,4027.59,4.7,7,26.229367619088407,0.9206430857540387,3.201387012495161,0.0625014958509382,25569.160856519426,50890.22521972656,440.42043685913086,0.0111198512637569,0.2668764303301675,203.079693197855,-2.82031678094961
185856409,3588.42,4.77,3,103.86954205053712,0.2615810021232694,0.3958477308146939,0.0972247068721117,1105.1799813906352,2587.575340270996,10.394585132598875,0.0012034326669042,0.0288823840057017,232.881722437391,-26.6403161568886
277711783,4051.48,4.66,3,49.67643242168447,0.2245499337232862,0.4166809407886376,0.0694512950344687,8411.161295572916,16402.113342285156,165.753173828125,0.002516283756831,0.0603908101639452,153.439200187953,4.52339143984031
335103607,4162.31,4.19,1,99.64660483014336,0.2083355647014286,0.2083355647014286,0.2083355647014286,5.522668361663818,5.522668361663818,5.522668361663818,0.0004181443686685,0.0100354648480456,201.68683799902,-16.1051521952499
443965404,4210.26,4.41,0,48.8340113915142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,130.064831721474,11.8083766559742
366576289,3536.02,4.67,1,48.83393550445908,0.2083402688338083,0.2083402688338083,0.2083402688338083,7.287144660949707,7.287144660949707,7.287144660949707,0.0008532317994903,0.020477563187769,127.869956501404,10.5416344185331
366355381,3620.5,4.24,1,24.41692381203734,0.2500075812906743,0.2500075812906743,0.2500075812906743,11.11208200454712,11.11208200454712,11.11208200454712,0.0017064666698974,0.0409552000775383,126.072791522633,10.7246501490212
422335495,4205.24,4.65,1,25.000406178595767,0.6875248711426138,0.6875248711426138,0.6875248711426138,5.864357948303223,5.864357948303223,5.864357948303223,0.0016666395885335,0.0399993501248053,203.370238847009,-17.5529497275509
49735767,3658.75,4.4,4,108.9591379392282,0.1562498190905898,0.2291643968783319,0.0833349372260272,-9904.408603202955,16401.8410932383,-53453.6771051326,0.0015296254157189,0.0367110099772539,352.780039663483,-11.8995001972984
458685938,4170.59,4.53,0,48.89357549420038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132.025926594802,10.5725841079883
27636692,3556.49,4.67,1,48.83372609261664,0.2291724136071025,0.2291724136071025,0.2291724136071025,7.413780689239502,7.413780689239502,7.413780689239502,0.0008532354583724,0.0204776510009379,123.337258037135,13.2736896273108
290055374,3877.52,4.63,2,50.32713504328876,0.2812597630891105,0.4375172310769812,0.1250022951012397,46.46548628807068,57.57160186767578,35.359370708465576,0.0016558330463606,0.0397399931126559,205.890811865603,-17.2658828210196
335011033,3530.04,4.74,3,75.38961698412413,1.3148293200549688,1.888883136567984,0.6666886208611231,29.642148812611897,36.96781396865845,22.20653295516968,0.0016580532572054,0.0397932781729313,201.317020998863,-17.1136815123011
277870693,3587.95,4.75,0,24.56300709885272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156.725043241624,2.46431168676034
68500300,3986.21,4.68,6,27.89553008294797,0.5590264367844687,1.6666754591808512,0.0833337850544921,27.233636379241943,56.15499019622803,1.3309001922607422,0.0089620092988596,0.2150882231726326,243.466190696475,-27.3605515265658
